stage,name,val_path_mse,test_path_mse,best_val_loss,epochs_ran,h1_mse,h5_mse,h20_mse,h30_mse
tsm,af_s90_l30_m64_ff128_do030_lr5e4_wd1e2,38.56367492675781,20.99062728881836,0.5739281992117564,16,2.8064446449279785,16.55489730834961,47.102943420410156,71.6365737915039
tsm,af_s60_l15_m32_ff64_do030_lr1e3_wd1e2,38.66340255737305,20.870563507080078,0.5745147546132405,13,2.78759503364563,16.368606567382812,47.256134033203125,73.16105651855469
tsm,af_s120_l30_m64_ff128_do020_lr3e4_wd1e3,38.78056716918945,20.988683700561523,0.5543929934501648,16,2.804924964904785,16.540246963500977,47.3967399597168,72.51068115234375
tsm,af_s60_l15_m64_ff128_do030_lr1e3_wd1e2,39.74000549316406,20.94202423095703,0.5759473393360773,18,2.8040215969085693,16.607357025146484,48.72239303588867,75.05548095703125
tsm,af_s60_l15_m128_ff256_do020_lr5e4_wd1e3,39.883338928222656,20.72211265563965,0.577619755268097,17,2.8267157077789307,16.817724227905273,48.5435791015625,75.3700942993164
