window,train_end,val_end,test_end,intended_gap_fill,run_dir,origin_start,origin_end,n_origins,tsm_path_mse,llm_path_mse,path_improvement_pct,tsm_h20_mse,llm_h20_mse,h20_improvement_pct,tsm_h30_mse,llm_h30_mse,h30_improvement_pct,tsm_h20_sharpe,llm_h20_sharpe,tsm_h30_sharpe,llm_h30_sharpe
G0,2024-05-20,2025-05-20,2026-01-22,2025-05-21 to 2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260402_143645_b5ec8d,2025-05-21,2025-12-09,144,10.44424533843994,9.798576584398267,0.06182052729700771,12.25903606414795,11.33236201661816,0.07559110216176668,23.07439422607422,21.30576349441468,0.07664906451416065,0.55065944323819,0.870205661580378,-0.1152404189097613,0.6781204520373983
G1,2023-09-16,2024-09-15,2025-05-20,2024-09-17 to 2024-10-27,/Users/davidwilkinson/Desktop/ETS 2/runs/20260402_152448_5aa34d,2024-09-16,2025-04-08,144,21.694101333618164,21.35238445256923,0.015751603433298067,28.80668830871582,28.200122359967654,0.021056427668731392,32.70045471191406,32.20029540577449,0.015295178936987175,1.393742387703426,1.402942335839863,1.0020244546124983,1.0234236306012303
G2,2023-01-12,2024-01-12,2024-09-15,2024-01-13 to 2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260402_161038_02e149,2024-01-15,2024-08-05,145,23.86432456970215,22.840461192276734,0.04290351375480783,34.47960662841797,32.65447760898208,0.05293358010446747,42.79008483886719,40.870314858964186,0.04486483228841909,1.2730273259319775,1.2730273259319775,1.5746693225147017,1.629881459938595
G3,2022-05-10,2023-05-10,2024-01-12,2023-05-11 to 2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260402_165801_e41336,2023-05-11,2023-11-30,146,104.89404296875,107.91673957179069,-0.028816666013542935,141.2603759765625,146.11230595120128,-0.034347423621779116,225.0261077880859,232.36328080322087,-0.032605874434999293,-1.0615725908303373,-1.0615725908303373,-1.99921099529471,-1.99921099529471
