variant,n_runs,n_features,mse_path_mean,mse_path_std,h1_mse_mean,h5_mse_mean,h20_mse_mean,h30_mse_mean,contains_icap,contains_coal,delta_mse_path_vs_full,pct_change_vs_full
full,1,21.0,2678.251708984375,,2624.85498046875,2642.175537109375,2698.45947265625,2747.566650390625,1,1,0.0,0.0
no_coal,1,21.0,2678.251708984375,,2624.85498046875,2642.175537109375,2698.45947265625,2747.566650390625,1,1,0.0,0.0
no_icap,1,21.0,2678.691162109375,,2625.48876953125,2642.439697265625,2698.6826171875,2746.09814453125,0,1,0.439453125,0.016408208516243077
no_icap_no_coal,1,21.0,2678.691162109375,,2625.48876953125,2642.439697265625,2698.6826171875,2746.09814453125,0,1,0.439453125,0.016408208516243077
