model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,146,17.744678497314453,4.2124433517456055,3.1170341968536377,7.647016644477844
seasonal_naive,full,146,19.64550951874297,4.432325520394793,3.335175798146148,8.16411503416429
linear_ridge,full,146,77.57209826851457,8.80750238538228,7.2430726752433605,18.921030921241037
linear_lasso,full,146,110.28821023192017,10.501819377227937,9.234940645574978,24.04387850783445
tsm,full,146,26.4559268951416,5.143532752990723,3.8836727142333984,9.841904044151306
naive_persistence_llm_subset,llm_subset,146,17.744678497314453,4.2124433517456055,3.1170341968536377,7.647016644477844
seasonal_naive_llm_subset,llm_subset,146,19.64550951874297,4.432325520394793,3.335175798146148,8.16411503416429
linear_ridge_llm_subset,llm_subset,146,77.57209826851457,8.80750238538228,7.2430726752433605,18.921030921241037
linear_lasso_llm_subset,llm_subset,146,110.28821023192017,10.501819377227937,9.234940645574978,24.04387850783445
tsm_llm_subset,llm_subset,146,26.4559268951416,5.143532752990723,3.8836727142333984,9.841904044151306
