Date,auction_name,contract,auction_price_eur,auction_volume_tco2,total_revenue_eur,cover_ratio,country,source,source_url
2021-03-02,Auction 4. Period CAP3 EU,T3PA,37.25,3288500,122496625.0,1.56,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-03,Auction 4. Period CAP3 PL,T3PA,37.56,2575000,96717000.0,1.83,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-04,Auction 4. Period CAP3 EU,T3PA,36.9,3288500,121345650.0,1.8,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-05,Auction 4. Period DE,T3PA,38.08,2651000,100950080.0,1.57,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-08,Auction 4. Period CAP3 EU,T3PA,38.41,3288500,126311285.0,1.56,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-09,Auction 4. Period CAP3 EU,T3PA,39.4,3288500,129566900.0,1.98,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-10,Auction 4. Period CAP3 PL,T3PA,41.0,2575000,105575000.0,2.02,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-11,Auction 4. Period CAP3 EU,T3PA,40.92,3288500,134565420.0,1.67,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-12,Auction 4. Period DE,T3PA,41.52,2651000,110069520.0,2.04,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-15,Auction 4. Period CAP3 EU,T3PA,42.84,3288500,140879340.0,1.66,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-16,Auction 4. Period CAP3 EU,T3PA,41.92,3288500,137853920.0,1.7,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-17,Auction 4. Period CAP3 PL,T3PA,41.52,2575000,106914000.0,1.7,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-17,EUAA Auction CAP3 EU,EAA3,41.9,614500,25747550.0,1.8,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-18,Auction 4. Period CAP3 EU,T3PA,43.35,3288500,142556475.0,1.92,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-19,Auction 4. Period DE,T3PA,41.91,2651000,111103410.0,1.44,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-22,Auction 4. Period CAP3 EU,T3PA,41.8,3288500,137459300.0,1.7,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-23,Auction 4. Period CAP3 EU,T3PA,41.77,3288500,137360645.0,1.66,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-24,Auction 4. Period CAP3 PL,T3PA,40.94,2575000,105420500.0,1.94,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-25,Auction 4. Period CAP3 EU,T3PA,40.69,3290000,133870100.0,1.6,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-26,Auction 4. Period DE,T3PA,40.86,2651000,108319860.0,1.64,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-29,Auction 4. Period CAP3 EU,T3PA,40.71,3288500,133874835.0,1.55,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-30,Auction 4. Period CAP3 EU,T3PA,42.25,3288500,138939125.0,1.59,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-03-31,Auction 4. Period CAP3 PL,T3PA,42.26,2575000,108819500.0,1.34,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-01,Auction 4. Period CAP3 EU,T3PA,42.04,3288500,138248540.0,1.45,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-06,Auction 4. Period CAP3 EU,T3PA,43.05,3288500,141569925.0,1.88,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-07,Auction 4. Period CAP3 PL,T3PA,43.63,2575000,112347250.0,1.78,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-08,Auction 4. Period CAP3 EU,T3PA,43.45,3288500,142885325.0,1.85,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-09,Auction 4. Period DE,T3PA,43.18,2651000,114470180.0,1.56,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-12,Auction 4. Period CAP3 EU,T3PA,43.86,3288500,144233610.0,1.86,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-13,Auction 4. Period CAP3 EU,T3PA,44.1,3288500,145022850.0,1.53,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-14,Auction 4. Period CAP3 PL,T3PA,43.9,2575000,113042500.0,1.88,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-14,EUAA Auction CAP3 PL,EAA3,43.53,114000,4962420.0,4.46,PL,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-15,Auction 4. Period CAP3 EU,T3PA,43.99,3288500,144661115.0,1.58,EU,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
2021-04-16,Auction 4. Period DE,T3PA,44.5,2651000,117969500.0,1.74,DE,eex_auction_report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2021-data.xlsx
