name,tsm_type,target_mode,seq_len,label_len,batch_size,learning_rate,max_epochs,patience,d_model,n_heads,e_layers,d_ff,dropout,weight_decay,grad_clip,dlinear_individual,kernel_size,use_residual_wrapper,residual_alpha,n_features,best_val_loss,epochs_ran,val_path_mse,test_path_mse,h1_mse,h5_mse,h20_mse,h30_mse
dlinear_resid_s20_l10_k25_ind_a01,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,True,0.1,13,0.5924112051725388,40,16.63988494873047,29.593332290649414,1.1399154663085938,5.518514633178711,39.96670913696289,72.67554473876953
dlinear_resid_s20_l10_k5_shared_a01,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,True,0.1,13,0.5915364474058151,40,16.809640884399414,30.682714462280273,1.1089630126953125,5.356980323791504,42.01866912841797,73.77881622314453
dlinear_base_s20_l10_k25_ind,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5987452641129494,40,16.841489791870117,29.782794952392578,1.205735683441162,5.649114608764648,40.246158599853516,72.36900329589844
dlinear_s20_l10_k5_shared,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,False,0.1,13,0.5950450375676155,40,16.994224548339844,30.60841941833496,1.1729589700698853,5.547205924987793,41.84315872192383,72.48216247558594
dlinear_s20_l10_k9_shared,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,9,False,0.1,13,0.5974416956305504,40,17.184818267822266,30.709936141967773,1.161489725112915,5.576809406280518,41.98260498046875,72.59919738769531
dlinear_resid_s15_l5_k5_shared_a01,dlinear,returns,15,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,True,0.1,13,0.5964117050170898,40,17.37598991394043,31.548181533813477,1.1124939918518066,5.7064127922058105,43.77071762084961,76.10930633544922
dlinear_s10_l5_k5_shared,dlinear,returns,10,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,False,0.1,13,0.604173481464386,40,17.387088775634766,31.8248291015625,1.1375045776367188,5.5993170738220215,43.0849494934082,76.21780395507812
dlinear_s15_l5_k5_shared,dlinear,returns,15,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,False,0.1,13,0.6006843447685242,40,17.702404022216797,31.717302322387695,1.156238079071045,5.930158615112305,44.07325744628906,75.63720703125
dlinear_resid_s10_l5_k3_shared_a01,dlinear,returns,10,5,64,0.0005,40,5,32,2,1,64,0.3,0.05,0.5,False,3,True,0.1,13,0.611513078212738,40,17.97260856628418,33.01557540893555,1.130460262298584,5.806930065155029,44.747718811035156,78.5946273803711
dlinear_s30_l10_k13_shared_lr5e4,dlinear,returns,30,10,64,0.0005,40,5,32,2,1,64,0.3,0.05,0.5,False,13,False,0.1,13,0.627859853208065,40,18.669055938720703,30.84510612487793,1.1205811500549316,5.532571315765381,41.85709762573242,75.2327880859375
dlinear_s10_l5_k3_shared_lr5e4,dlinear,returns,10,5,64,0.0005,40,5,32,2,1,64,0.3,0.05,0.5,False,3,False,0.1,13,0.6452174112200737,40,19.4039249420166,34.40609359741211,1.2393301725387573,6.324604511260986,45.592838287353516,80.26641845703125
dlinear_s20_l10_k5_shared_wd01,dlinear,returns,20,10,64,0.0001,40,5,32,2,1,64,0.3,0.1,0.5,False,5,False,0.1,13,0.7656668648123741,40,24.223358154296875,34.487300872802734,1.2208447456359863,6.114221572875977,44.20685958862305,81.29094696044922
