quantile,horizon,feature,coefficient
0.1,11,icap_return_last,0.0
0.1,11,eurusd_last,0.0
0.1,11,brent_price_last,-0.008320775490079516
0.1,11,y_lag_1,0.0
0.1,11,y_lag_5,0.0
0.1,11,y_lag_10,0.0
0.1,11,y_lag_20,0.0
0.1,11,y_mean_20,0.0
0.1,11,y_std_20,0.0
0.1,12,y_return_last,0.0
0.1,12,y_last,0.4799032383121641
0.1,12,eua_high_last,0.0
0.1,12,eua_low_last,0.4197248385094885
0.1,12,eua_volume_last,-6.538550188170109e-07
0.1,12,eua_range_last,0.0
0.1,12,eua_range_pct_last,0.0
0.1,12,icap_secondary_last,0.016235014473985985
0.1,12,icap_return_last,0.0
0.1,12,eurusd_last,0.0
0.1,12,brent_price_last,-0.008165610189154465
0.1,12,y_lag_1,0.0
0.1,12,y_lag_5,0.0
0.1,12,y_lag_10,0.0
0.1,12,y_lag_20,0.0
0.1,12,y_mean_20,0.0
0.1,12,y_std_20,0.0
0.1,13,y_return_last,0.0
0.1,13,y_last,0.5633764178992275
0.1,13,eua_high_last,0.0
0.1,13,eua_low_last,0.32398338058261217
0.1,13,eua_volume_last,-3.265920129283605e-06
0.1,13,eua_range_last,0.0
0.1,13,eua_range_pct_last,0.0
0.1,13,icap_secondary_last,0.024062502301623444
0.1,13,icap_return_last,0.0
0.1,13,eurusd_last,0.0
0.1,13,brent_price_last,-0.010172774235094042
0.1,13,y_lag_1,0.0
0.1,13,y_lag_5,0.0
0.1,13,y_lag_10,0.0
0.1,13,y_lag_20,0.0
0.1,13,y_mean_20,0.0
0.1,13,y_std_20,0.0
0.1,14,y_return_last,0.0
0.1,14,y_last,0.611913321232082
0.1,14,eua_high_last,0.0
0.1,14,eua_low_last,0.27481359876691436
0.1,14,eua_volume_last,-3.7170074198195663e-06
0.1,14,eua_range_last,0.0
0.1,14,eua_range_pct_last,0.0
0.1,14,icap_secondary_last,0.02301917195206228
0.1,14,icap_return_last,0.0
0.1,14,eurusd_last,0.0
0.1,14,brent_price_last,-0.00850332383665934
0.1,14,y_lag_1,0.0
0.1,14,y_lag_5,0.0
0.1,14,y_lag_10,0.0
0.1,14,y_lag_20,0.0
