h,tsm_mse,hprice35b_mse
1,1.3845486640930176,1.384548651839924
2,2.7099382877349854,2.7153136973064242
3,3.8918027877807617,3.904293501881856
4,5.103314399719238,5.124997585049964
5,6.391053199768066,6.403430304992242
6,7.418102741241455,7.421646227182019
7,8.515738487243652,8.509317262848565
8,9.717510223388672,9.697022215667069
9,10.805075645446777,10.788675152651033
10,12.006566047668457,12.02040664104512
11,13.531189918518066,13.549387736785683
12,15.185035705566406,15.214154833009571
13,16.585933685302734,16.619410261644674
14,18.243980407714844,18.270456833790057
15,19.797090530395508,19.801190856775285
16,21.320322036743164,21.31889150562552
17,22.630834579467773,22.608298938233023
18,23.61085319519043,23.554770955157466
19,24.693906784057617,24.614439520873148
20,26.07120132446289,25.97263558312642
21,27.777311325073242,27.642452289099683
22,29.573383331298828,29.442183725781522
23,31.47368812561035,31.32280582771802
24,33.43577575683594,33.25342852808457
25,35.03289031982422,34.83680910722209
26,36.472164154052734,36.279707684354875
27,37.73280715942383,37.49149328910747
28,39.076904296875,38.84351891862114
29,40.30397033691406,40.06496595143324
30,41.2770881652832,41.04151292821832
