option,h1_mse,h5_mse,h20_mse,h30_mse,path_mse,h1_vs_base_pct,h5_vs_base_pct,h20_vs_base_pct,h30_vs_base_pct,path_vs_base_pct
1) Base Autoformer,0.09745874010280363,1.8901053336012816,19.232147772663335,40.76497464017193,14.515774085804141,0.0,0.0,0.0,0.0,0.0
2) Autoformer+CoT,0.859259371019327,2.7859793520917218,16.419351548266384,34.93661537789759,13.072749719249314,781.664764097036,47.39810012511319,-14.625491950488614,-14.297468142003384,-9.941077603061128
3) Autoformer+CoT+Sentiment,0.264988896079103,1.8328393010772124,18.385665958080224,38.52020107106137,13.894151431941701,171.8985447581011,-3.029779954906447,-4.401389925811116,-5.506623244402658,-4.282394105804959
"4) Autoformer+CoT+RAMP (w=0.50,min=0.15,p=1.0)",0.11323124127888236,1.8322721765734247,16.803940714416846,34.51067071679509,12.720013890985065,16.183772906812894,-3.059784870172579,-12.625771634814257,-15.34234714625217,-12.371094949564277
