Price,Close,High,Low,Open,Volume
Ticker,KSET,KSET,KSET,KSET,KSET
Date,,,,,
2022-04-20,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0
2022-04-21,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0
2022-04-22,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0
2022-04-25,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0
2022-04-26,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0
2022-04-27,24.9400005341,24.9400005341,24.9400005341,24.9400005341,0
2022-04-28,24.7199993134,24.7199993134,24.7199993134,24.7199993134,0
2022-04-29,24.8199996948,24.8199996948,24.8199996948,24.8199996948,0
2022-05-02,24.9599990845,24.9599990845,24.9599990845,24.9599990845,0
2022-05-03,24.8199996948,24.8199996948,24.8199996948,24.8199996948,0
2022-05-04,24.9577999115,25.1299991608,24.9577999115,25.1299991608,13060
2022-05-05,24.9099998474,24.9699993134,24.9099998474,24.9300003052,1074
2022-05-06,24.8700008392,24.8999996185,24.6499996185,24.6499996185,1141
2022-05-09,24.4599990845,24.8799991608,24.4323005676,24.8799991608,4013
2022-05-10,24.5049991608,24.5049991608,24.3299999237,24.3299999237,10265
2022-05-11,24.0599994659,24.3700008392,24.0599994659,24.3700008392,401
2022-05-12,24.0799999237,24.0799999237,23.2099990845,23.2900009155,376
2022-05-13,24.1849994659,24.2099990845,23.8299007416,24.2099990845,9359
2022-05-16,23.8050003052,24.2800006866,23.8050003052,24.2700004578,8637
2022-05-17,23.9950008392,24.0499992371,23.7999992371,24.0499992371,2075
2022-05-18,23.8500003815,23.8500003815,23.8500003815,23.8500003815,95
2022-05-19,23.7005996704,23.9598999023,23.7005996704,23.9598999023,2009
2022-05-20,24.1149997711,24.2399997711,24.1149997711,24.2399997711,1158
2022-05-23,24.0599994659,24.1779994965,24.0599994659,24.1700000763,248
2022-05-24,23.9899997711,23.9899997711,23.9899997711,23.9899997711,1
2022-05-25,24.0650005341,24.1200008392,24.0650005341,24.0660991669,660
2022-05-26,24.1299991608,24.1299991608,24.1299991608,24.1299991608,7
2022-05-27,24.3850002289,24.4300003052,24.1200008392,24.1200008392,741
2022-05-31,24.2679996490,24.3500003815,24.2679996490,24.3500003815,1356
2022-06-01,24.2099990845,24.2099990845,24.2099990845,24.2099990845,56
2022-06-02,24.4599990845,24.4599990845,24.4400005341,24.4400005341,351
2022-06-03,24.3500003815,24.4801006317,24.3500003815,24.4801006317,1560
2022-06-06,24.3449993134,24.4150009155,24.2399997711,24.2401008606,4639
2022-06-07,24.2803993225,24.5400009155,24.2500000000,24.5400009155,3741
2022-06-08,24.1049995422,24.1599998474,24.1049995422,24.1599998474,186
2022-06-09,23.3227996826,23.9300003052,23.1000003815,23.9300003052,7875
2022-06-10,23.2350006104,23.2350006104,23.2299995422,23.2299995422,103
2022-06-13,21.8500003815,22.6900005341,21.7600002289,22.6900005341,12406
