model,horizon,n_eval_windows,signal_nonzero_rate,directional_accuracy,n_days,n_trade_decisions,n_executed_trades,execution_lag_days,hold_days,max_concurrent_positions,transaction_cost_bps,slippage_bps,mean_daily_return,daily_volatility,daily_sharpe_annualized,total_return,annualized_return,max_drawdown,avg_net_exposure,avg_gross_exposure,trade_hit_rate,trim_to_active_window,active_start_date,active_end_date
raw_tsm,20,103,1.0,0.9029126213592233,123,103,103,1,20,20,10.0,5.0,0.0012661142534596127,0.010232189062525933,1.9642855065979754,0.16093746021782285,0.35762259037626953,0.035287105654060125,0.83739837398374,0.83739837398374,0.9029126213592233,True,2025-07-02,2025-12-19
raw_tsm,30,103,1.0,0.970873786407767,131,103,101,1,30,30,10.0,5.0,0.0012753133150208197,0.009486228425280756,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,0.7709923664122137,0.7709923664122137,0.9702970297029703,True,2025-07-02,2026-01-05
baseline_heuristic,20,103,1.0,0.9029126213592233,123,103,103,1,20,20,10.0,5.0,0.0012661142534596127,0.010232189062525933,1.9642855065979754,0.16093746021782285,0.35762259037626953,0.035287105654060125,0.83739837398374,0.83739837398374,0.9029126213592233,True,2025-07-02,2025-12-19
baseline_heuristic,30,103,1.0,0.970873786407767,131,103,101,1,30,30,10.0,5.0,0.0012753133150208197,0.009486228425280756,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,0.7709923664122137,0.7709923664122137,0.9702970297029703,True,2025-07-02,2026-01-05
learned_gbdt,20,103,1.0,0.9029126213592233,123,103,103,1,20,20,10.0,5.0,0.0012661142534596127,0.010232189062525933,1.9642855065979754,0.16093746021782285,0.35762259037626953,0.035287105654060125,0.83739837398374,0.83739837398374,0.9029126213592233,True,2025-07-02,2025-12-19
learned_gbdt,30,103,1.0,0.970873786407767,131,103,101,1,30,30,10.0,5.0,0.0012753133150208197,0.009486228425280756,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,0.7709923664122137,0.7709923664122137,0.9702970297029703,True,2025-07-02,2026-01-05
