model,n_windows,path_mse_base,path_mse_llm,h20_mse_base,h20_mse_llm,h30_mse_base,h30_mse_llm
baseline_heuristic,103,4.202436325044603,4.174479969823515,4.112015362630612,4.02789744995731,9.131734902815085,9.125792632294802
learned_gbdt,103,4.202436325044603,3.7299133795726,4.112015362630612,3.449006332817264,9.131734902815085,7.891961067499104
