window,train_end,val_end,test_end,run_dir,origin_start,origin_end,n_origins,tsm_path_mse,llm_path_mse,path_improvement_pct,tsm_h20_mse,llm_h20_mse,h20_improvement_pct,tsm_h30_mse,llm_h30_mse,h30_improvement_pct,tsm_h20_sharpe,llm_h20_sharpe,tsm_h30_sharpe,llm_h30_sharpe
W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_115150_bf9989,2025-07-01,2026-01-22,144,20.824586868286133,20.561470234051253,0.012634902958655214,25.991470336914062,25.545971524452572,0.017140192789662057,61.42319869995117,60.917808835583614,0.00822799650725381,2.0474791604240123,2.0474791604240123,1.456618998851026,1.456618998851026
W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_115622_da6c51,2024-10-28,2025-05-20,143,21.285982131958008,21.43761838820145,-0.007123761323457156,27.479915618896484,27.717847366857175,-0.008658387138462675,32.64444351196289,33.00166832418982,-0.01094289789611591,1.0000230425299517,1.0000230425299517,0.7892416575265125,0.7892416575265125
W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_124702_c7ea2d,2024-02-23,2024-09-16,146,23.02001953125,22.625306749884132,0.017146500715607083,32.75636672973633,32.08150368810689,0.020602499880329916,44.82731628417969,43.95387581591059,0.019484558538636954,0.7028461550083762,0.7862608944988956,0.7668971815309632,0.8727131170344955
W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_133808_f2b915,2023-06-21,2024-01-12,146,90.5991439819336,88.59048476977254,0.022170840958073423,125.35798645019533,122.37191238880465,0.02382037352344557,176.53016662597656,171.08285828191944,0.030857662733636992,-0.7590271086879045,-0.7590271086879045,-1.879273019452292,-1.879273019452292
W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_135728_a024ac,2022-10-17,2023-05-10,146,104.76339721679688,103.86616978268742,0.008564321680526787,136.63156127929688,135.34633354099952,0.009406521643049559,233.8096618652344,231.3181419080411,0.010656189044186637,-1.0229111655560432,-1.0229111655560432,-1.223281853035245,-1.223281853035245
