endpoint,base_model,candidate,run_dir,result_name,base_mse_path,llm_mse_path,path_gain_abs,path_gain_pct,reflect_calls,apply_calls,approx_llm_applied_samples,base_h1_mse,llm_h1_mse,gain_h1_abs,gain_h1_pct,base_h5_mse,llm_h5_mse,gain_h5_abs,gain_h5_pct,base_h20_mse,llm_h20_mse,gain_h20_abs,gain_h20_pct,base_h30_mse,llm_h30_mse,gain_h30_abs,gain_h30_pct
35b,linear_lasso,35b_linear_lasso_numeric_only_online,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_183444_465016,linear_lasso+LLM-COT-RF-HDELTA,24.239772197696304,24.153254615649267,0.08651758204703697,0.3569240723114527,34,34,34,1.1675121827343498,1.1675121827343498,0.0,0.0,4.749568750323306,4.7878736970044375,-0.038304946681131824,-0.8064931511629215,31.95476772049844,31.861305898093892,0.09346182240454937,0.29248162033922465,62.10150613446543,61.741628782255894,0.3598773522095371,0.5794985896643341
35b,linear_ridge,35b_linear_ridge_numeric_only_online,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_183135_927050,linear_ridge+LLM-COT-RF-HDELTA,22.486069085158693,22.402213693304677,0.08385539185401569,0.37292152548513746,33,33,33,1.0783833066037307,1.0783833066037307,0.0,0.0,4.577809701738058,4.603355246444887,-0.025545544706829126,-0.5580298520738038,30.24368162117308,30.16908813655529,0.07459348461779314,0.2466415483145793,56.987273901914605,56.56611482334469,0.4211590785699144,0.7390405782434957
35b,naive_persistence,35b_naive_persistence_relaxed_online,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_183759_4543b6,naive_persistence+LLM-COT-RF-HDELTA,32.05109405517578,31.694959599423683,0.35613445575209823,1.1111460193496507,34,34,34,1.0601401329040527,1.0601401019452572,3.0958795527169514e-08,2.920255027263591e-06,5.22395133972168,5.180330362303921,0.043620977417758944,0.8350188311685723,44.33658981323242,43.82836229428854,0.5082275189438832,1.1462936619275144,80.04888153076172,79.2174445851337,0.8314369456280133,1.0386615399598096
35b,seasonal_naive,35b_seasonal_naive_relaxed_online,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_184114_802da5,seasonal_naive+LLM-COT-RF-HDELTA,34.23765341765504,33.950293922546614,0.28735949510842573,0.8393083825080299,34,34,34,5.180585008224423,5.180585008224423,0.0,0.0,5.223951453742807,5.242031635748083,-0.018080182005276058,-0.3461016467203603,44.33658828564108,43.92442144720667,0.41216683843440904,0.9296313820517716,80.04887863178686,79.40751624309496,0.6413623886919027,0.8012134581448366
35b,tsm,35b_tsm_numeric_only_online,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_182821_704692,TSM+LLM-COT-RF-HDELTA,26.850793838500977,26.650131938849636,0.2006618996513403,0.747322037695638,34,34,34,1.3893705606460571,1.3893705941066703,-3.346061316911175e-08,-2.408328930875905e-06,5.149159908294678,5.178040367148473,-0.028880458853794977,-0.5608771016660802,36.57380676269531,36.27351607721961,0.3002906854757015,0.8210539510532797,64.89793395996094,64.28339936238956,0.6145345975713781,0.9469247479442379
4b,linear_lasso,4b_linear_lasso_numeric_verifier,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_181507_a9f6c3,linear_lasso+LLM-COT-RF-HDELTA,24.239772197696304,24.131676913593303,0.10809528410300118,0.44594183155431766,34,34,34,1.1675121827343498,1.1675121827343498,0.0,0.0,4.749568750323306,4.807990944026037,-0.058422193702731384,-1.2300525958015567,31.95476772049844,31.82496228761178,0.12980543288666269,0.40621616787217235,62.10150613446543,61.660167618484216,0.4413385159812151,0.7106728056250453
4b,linear_ridge,4b_linear_ridge_numeric_verifier,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_180718_be5330,linear_ridge+LLM-COT-RF-HDELTA,22.486069085158693,22.423315603230503,0.06275348192819052,0.279077155240127,33,33,33,1.0783833066037307,1.0783833066037307,0.0,0.0,4.577809701738058,4.591804532959772,-0.013994831221713966,-0.3057102005878607,30.24368162117308,30.20194336325858,0.0417382579145027,0.13800653781939848,56.987273901914605,56.65338944923108,0.3338844526835274,0.5858930070215376
4b,naive_persistence,4b_naive_persistence_relaxed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_181930_bec266,naive_persistence+LLM-COT-RF-HDELTA,32.05109405517578,31.897689331276553,0.15340472389922866,0.47862554593345014,34,34,34,1.0601401329040527,1.0601401019452572,3.0958795527169514e-08,2.920255027263591e-06,5.22395133972168,5.226721629357058,-0.002770289635378731,-0.05303054058551636,44.33658981323242,44.11268528632505,0.2239045269073685,0.5050107097784579,80.04888153076172,79.64004515302749,0.4088363777342323,0.5107334042851329
4b,seasonal_naive,4b_seasonal_naive_relaxed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_182356_dd003e,seasonal_naive+LLM-COT-RF-HDELTA,34.23765341765504,34.084646307783366,0.1530071098716732,0.44689718657170974,34,34,34,5.180585008224423,5.180585008224423,0.0,0.0,5.223951453742807,5.240266797128836,-0.01631534338602858,-0.31231805139266977,44.33658828564108,44.13708260120307,0.19950568443800876,0.44997978453525034,80.04887863178686,79.73030830890906,0.31857032287780385,0.3979697508858066
4b,tsm,4b_tsm_verifier_conservative,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_175555_8398c3,TSM+LLM-COT-RF-HDELTA,26.850793838500977,26.70953993779,0.141253900710975,0.5260697376791632,34,34,34,1.3893705606460571,1.3893705941066703,-3.346061316911175e-08,-2.408328930875905e-06,5.149159908294678,5.171072441159266,-0.021912532864588385,-0.4255554936114904,36.57380676269531,36.355971923082194,0.21783483961311845,0.5956034082711522,64.89793395996094,64.46542520777724,0.43250875218369345,0.666444562704464
