horizon,mse,rmse,mae,mape
1,2.2376100665271,1.4958643208951472,1.255384228893162,1.740803737467577
5,11.383146141960433,3.373891839102201,2.787243282672056,3.8879842167712937
20,49.41968920827602,7.029913883418204,6.243828213091978,8.761766350723128
30,51.556882387175364,7.180312137168924,6.301018075844676,9.05590252570066
