feature,mutual_info,label_corr,abs_label_corr,rank
positive_count_h30,0.24764925639128443,-0.48417073267060046,0.48417073267060046,1
positive_count,0.16670936201988407,-0.48417073267060046,0.48417073267060046,2
positive_signal_h30,0.16348818519189634,-0.4002818279814753,0.4002818279814753,3
positive_signal,0.15335488867460212,-0.4002818279814753,0.4002818279814753,4
net_signal,0.14474268286570502,0.08581203320923972,0.08581203320923972,5
negative_mean_helpfulness,0.116068489895363,0.08541198974030587,0.08541198974030587,6
base_move_h5_pct,0.10088913799726096,0.1563972435156226,0.1563972435156226,7
profile_fc_h5,0.10088913799726096,0.1563972435156226,0.1563972435156226,8
negative_count,0.09603607439419748,-0.1642207590796115,0.1642207590796115,9
positive_mean_helpfulness,0.092998593621616,-0.47132634175821386,0.47132634175821386,10
profile_vol_pct,0.08499215303777596,0.041422431842802365,0.041422431842802365,11
positive_mean_similarity,0.08486260862707828,-0.5087444563536878,0.5087444563536878,12
positive_best_similarity,0.08457022052412522,-0.4902664496389984,0.4902664496389984,13
profile_change_5,0.07382056420993743,-0.22121477136163678,0.22121477136163678,14
positive_count_h20,0.06346168316365297,0.0,0.0,15
negative_signal,0.03860118289680581,-0.08851996161339154,0.08851996161339154,16
base_move_h20_pct,0.03825063067125356,0.3151109370958801,0.3151109370958801,17
profile_fc_h20,0.03825063067125356,0.3151109370958801,0.3151109370958801,18
negative_signal_h30,0.03448831659643958,-0.08851996161339154,0.08851996161339154,19
base_move_h30_pct,0.0,0.29802953580374486,0.29802953580374486,20
profile_fc_h30,0.0,0.29802953580374486,0.29802953580374486,21
negative_best_similarity,0.0,-0.1775943978729444,0.1775943978729444,22
negative_mean_similarity,0.0,-0.1775943978729444,0.1775943978729444,23
negative_count_h30,0.0,-0.1642207590796115,0.1642207590796115,24
negative_count_h20,0.0,0.0,0.0,25
negative_signal_h20,0.0,0.0,0.0,26
positive_signal_h20,0.0,0.0,0.0,27
profile_change_20,0.0,0.0,0.0,28
support_example_count,0.0,0.0,0.0,29
