horizon,mse,rmse,mae,mape
1,48.337906217238675,6.952546743261686,6.629996779869343,7.6534108561336
5,61.88195938293085,7.866508716255951,6.700617481100148,7.639165337298899
20,77.03664693136756,8.777052291707482,6.985341828444908,7.863561608111196
30,89.2171579383402,9.445483467686564,7.607153109846444,8.523947909262072
