horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model
10,0.5125348189415042,0.5059523809523809,0.4953271028037383,0.5476190476190477,168,107,84,0.02,18,naive_persistence
20,0.4178272980501393,0.4077669902912621,0.4074074074074074,0.4888888888888889,206,108,45,0.02,18,naive_persistence
30,0.40668523676880225,0.3933649289099526,0.35294117647058826,0.5869565217391305,211,102,46,0.02,18,naive_persistence
10,0.5125348189415042,0.5059523809523809,0.4953271028037383,0.5476190476190477,168,107,84,0.02,18,seasonal_naive
20,0.4178272980501393,0.4077669902912621,0.4074074074074074,0.4888888888888889,206,108,45,0.02,18,seasonal_naive
30,0.40668523676880225,0.3933649289099526,0.35294117647058826,0.5869565217391305,211,102,46,0.02,18,seasonal_naive
10,0.5292479108635098,0.6904761904761905,0.29906542056074764,0.5,168,107,84,0.02,18,linear_ridge
20,0.5376044568245125,0.8543689320388349,0.07407407407407407,0.2,206,108,45,0.02,18,linear_ridge
30,0.4568245125348189,0.6492890995260664,0.049019607843137254,0.4782608695652174,211,102,46,0.02,18,linear_ridge
10,0.4206128133704735,0.14285714285714285,0.7383177570093458,0.5714285714285714,168,107,84,0.02,18,linear_lasso
20,0.27019498607242337,0.09223300970873786,0.42592592592592593,0.7111111111111111,206,108,45,0.02,18,linear_lasso
30,0.30919220055710306,0.1990521327014218,0.3137254901960784,0.8043478260869565,211,102,46,0.02,18,linear_lasso
10,0.6963788300835655,0.75,0.5887850467289719,0.7261904761904762,168,107,84,0.02,18,tsm
20,0.5487465181058496,0.5922330097087378,0.4351851851851852,0.6222222222222222,206,108,45,0.02,18,tsm
30,0.42618384401114207,0.5260663507109005,0.28431372549019607,0.2826086956521739,211,102,46,0.02,18,tsm
10,0.71,0.7142857142857143,0.6923076923076923,0.7368421052631579,42,39,19,0.02,18,TSM+LLM-COT-SENT-RF-DELTA
20,0.48,0.5714285714285714,0.34285714285714286,0.5,49,35,16,0.02,18,TSM+LLM-COT-SENT-RF-DELTA
30,0.31,0.425531914893617,0.21951219512195122,0.16666666666666666,47,41,12,0.02,18,TSM+LLM-COT-SENT-RF-DELTA
