candidate,window,train_end,val_end,test_end,run_dir,tsm_path_mse,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct,apply_rate,mean_uplift_probability,selected_threshold,training_rows,training_positive_rate,threshold_selection
gate_top20_baseline,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_005435_9b1195,104.78156280517578,105.46525314395583,133.1609208784471,223.7581685826889,-0.0065249106853966,-0.0099134851750293,-0.0043000818985032,,,,0,,[]
gate_top20_baseline,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_003723_9eaac4,70.20631408691406,69.49201239896755,89.49729561648745,117.98683976692746,0.0101743225981387,0.0122997002741894,0.0129261634268241,,,,0,,[]
gate_top20_baseline,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_002140_38080d,19.702138900756836,19.70555033566715,26.39920814965152,36.95060161683715,-0.0001731504852087,0.0005583237512385,0.0021598583089239,,,,0,,[]
gate_top20_baseline,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_000250_03d354,23.734298706054688,23.793162691610537,28.521385671729504,39.12096149832525,-0.0024801232294608,0.0007280486236944,-0.0041458334818671,,,,0,,[]
uplift_logistic,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_005435_9b1195,104.78156280517578,105.16586469449369,132.57583830014508,223.45382465640088,-0.0036676480005595202,-0.005476126362322198,-0.0029340864935873956,0.07534246575342465,0.2523630785552904,0.5,80,0.15,"[{'threshold': 0.5, 'selected_rows': 5, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}, {'threshold': 0.6, 'selected_rows': 5, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}, {'threshold': 0.7, 'selected_rows': 2, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}, {'threshold': 0.8, 'selected_rows': 1, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}]"
uplift_gbdt,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_005435_9b1195,104.78156280517578,105.10977684909584,132.51330236683282,223.49659285255441,-0.0031323644650187443,-0.005001843953163165,-0.0031260441913629755,0.0958904109589041,0.13517856790976615,0.5,80,0.15,"[{'threshold': 0.5, 'selected_rows': 2, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}, {'threshold': 0.6, 'selected_rows': 0, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}, {'threshold': 0.7, 'selected_rows': 0, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}, {'threshold': 0.8, 'selected_rows': 0, 'mean_gain_path': nan, 'positive_rate': nan, 'eligible': False}]"
uplift_logistic,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_003723_9eaac4,70.20631408691406,70.20720925102798,90.58988346613961,119.57300472241306,-1.2750478721956782e-05,0.0002418013271354713,-0.0003436379437518067,0.04794520547945205,0.4620403932716388,0.7,306,0.4477124183006536,"[{'threshold': 0.5, 'selected_rows': 29, 'mean_gain_path': -0.03202771475664296, 'positive_rate': 0.10344827586206896, 'eligible': True}, {'threshold': 0.6, 'selected_rows': 24, 'mean_gain_path': -0.02916729402492471, 'positive_rate': 0.125, 'eligible': True}, {'threshold': 0.7, 'selected_rows': 18, 'mean_gain_path': -0.021159876807987792, 'positive_rate': 0.16666666666666666, 'eligible': True}, {'threshold': 0.8, 'selected_rows': 9, 'mean_gain_path': -0.0361852523927092, 'positive_rate': 0.1111111111111111, 'eligible': True}]"
uplift_gbdt,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_003723_9eaac4,70.20631408691406,70.17395691398508,90.58472805218622,119.57047825778744,0.00046088693516832535,0.00029869694472817176,-0.00032250162773639346,0.04794520547945205,0.5074257539995566,0.8,306,0.4477124183006536,"[{'threshold': 0.5, 'selected_rows': 31, 'mean_gain_path': -0.03232121557219742, 'positive_rate': 0.12903225806451613, 'eligible': True}, {'threshold': 0.6, 'selected_rows': 26, 'mean_gain_path': -0.028629561632611253, 'positive_rate': 0.11538461538461539, 'eligible': True}, {'threshold': 0.7, 'selected_rows': 24, 'mean_gain_path': -0.02626578431622927, 'positive_rate': 0.125, 'eligible': True}, {'threshold': 0.8, 'selected_rows': 18, 'mean_gain_path': -0.024620255261670616, 'positive_rate': 0.16666666666666666, 'eligible': True}]"
uplift_logistic,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_002140_38080d,19.702138900756836,19.71006951662599,26.4352224250238,37.02166072644661,-0.0004025256297857105,-0.0008051325896831774,0.00024092792894225834,0.00684931506849315,0.6330915959943384,0.8,532,0.5206766917293233,"[{'threshold': 0.5, 'selected_rows': 106, 'mean_gain_path': -0.008167771335441684, 'positive_rate': 0.5849056603773585, 'eligible': True}, {'threshold': 0.6, 'selected_rows': 91, 'mean_gain_path': -0.007430214802273431, 'positive_rate': 0.6043956043956044, 'eligible': True}, {'threshold': 0.7, 'selected_rows': 68, 'mean_gain_path': -0.011551806424006291, 'positive_rate': 0.6176470588235294, 'eligible': True}, {'threshold': 0.8, 'selected_rows': 47, 'mean_gain_path': -0.005982874904983367, 'positive_rate': 0.7021276595744681, 'eligible': True}]"
uplift_gbdt,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_002140_38080d,19.702138900756836,19.71079087568071,26.43644715282669,37.01908966976087,-0.00043913886545299263,-0.0008514992837647117,0.0003103585594419478,0.0136986301369863,0.6664757426762928,0.5,532,0.5206766917293233,"[{'threshold': 0.5, 'selected_rows': 94, 'mean_gain_path': -0.00155726699472732, 'positive_rate': 0.6595744680851063, 'eligible': True}, {'threshold': 0.6, 'selected_rows': 88, 'mean_gain_path': -0.0030838303956294416, 'positive_rate': 0.6477272727272727, 'eligible': True}, {'threshold': 0.7, 'selected_rows': 81, 'mean_gain_path': -0.00460006481709967, 'positive_rate': 0.6666666666666666, 'eligible': True}, {'threshold': 0.8, 'selected_rows': 72, 'mean_gain_path': -0.005289365052813987, 'positive_rate': 0.6527777777777778, 'eligible': True}]"
