candidate,data_variant,window,train_end,val_end,test_end,run_dir,path_mse,h1,h5,h20,h30
baseline_energy16,current,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200615_122929,29.075462341308594,1.164847731590271,4.98168420791626,39.58527374267578,72.09320831298828
baseline_energy16,current,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200621_2ce477,23.25793838500977,2.618880271911621,9.57823371887207,28.18958282470703,36.62714385986328
baseline_energy16,current,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200624_821fd0,18.59832763671875,1.4134601354599,4.115499496459961,25.401012420654297,35.6187744140625
baseline_energy16,current,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200627_90e05f,68.51536560058594,10.435638427734377,22.647958755493164,89.81409454345703,109.4663314819336
baseline_energy16,current,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200630_31eebd,101.73527526855467,11.40880012512207,27.140268325805664,124.65435028076172,216.0431365966797
legacy_indices5,legacy_indices,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200631_b31091,28.35411262512207,1.1587061882019043,4.972073078155518,38.77278518676758,69.16011810302734
legacy_indices5,legacy_indices,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200635_dcc058,23.3746280670166,2.5969109535217285,9.565671920776367,28.44024085998535,37.01815414428711
legacy_indices5,legacy_indices,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200639_8cb800,18.66281509399414,1.4131147861480713,4.098330020904541,25.47016334533691,35.8062744140625
legacy_indices5,legacy_indices,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200641_07472d,70.30329132080078,10.407546043395996,22.545299530029297,93.01471710205078,113.2583465576172
legacy_indices5,legacy_indices,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200644_cb3874,108.6021957397461,11.418158531188965,25.914804458618164,139.1199188232422,231.32652282714844
legacy_vstoxx,legacy_all,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200647_837a27,28.98763656616211,1.1669777631759644,4.993436813354492,39.46111679077149,71.57714080810547
legacy_vstoxx,legacy_all,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200650_a44c21,23.474517822265625,2.6146585941314697,9.634029388427734,28.4927921295166,37.39793395996094
legacy_vstoxx,legacy_all,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200653_d257dd,18.87309837341309,1.404629468917847,4.125515937805176,25.85481834411621,36.21162796020508
legacy_vstoxx,legacy_all,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200655_ae5f10,71.10325622558594,10.406437873840332,22.750598907470703,93.05818939208984,115.49066162109376
