candidate,data_variant,window,train_end,val_end,test_end,run_dir,path_mse,h1,h5,h20,h30
legacy_vstoxx,legacy_all,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200657_e4daf8,102.62518310546876,11.370489120483398,27.006277084350582,126.54991149902344,217.90109252929688
legacy_icap_secondary,current,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200659_f41f0b,28.7369384765625,1.1648311614990234,4.96836519241333,39.09714889526367,71.17385864257812
legacy_icap_secondary,current,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200702_281f14,23.162429809570312,2.615448474884033,9.62464714050293,27.9890079498291,36.80232620239258
legacy_icap_secondary,current,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200706_76f460,19.129554748535156,1.406312346458435,4.136575698852539,26.304344177246097,36.73786163330078
legacy_icap_secondary,current,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200709_569fba,71.3367691040039,10.399538040161133,22.708446502685547,93.40463256835938,116.14051818847656
legacy_icap_secondary,current,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200711_c1383a,104.23809051513672,11.343022346496582,26.600345611572266,130.06069946289062,221.6131134033203
legacy_auction_volume,legacy_auctions,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200713_881b4f,29.083662033081055,1.1679818630218506,4.962631702423096,39.68138885498047,72.10717010498047
legacy_auction_volume,legacy_auctions,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200717_b1cc03,22.938631057739254,2.5923681259155273,9.524900436401367,27.78592109680176,36.08201217651367
legacy_auction_volume,legacy_auctions,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200721_3d71f0,18.761308670043945,1.409742832183838,4.127096176147461,25.64573097229004,35.96637725830078
legacy_auction_volume,legacy_auctions,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200724_6d9773,69.54296875,10.38919162750244,22.60575294494629,91.7837905883789,111.51573181152344
legacy_auction_volume,legacy_auctions,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200726_ef62d9,102.21437072753906,11.366361618041992,27.09462547302246,125.67330932617188,216.9899139404297
legacy_market_compact20,legacy_all,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200728_69af40,28.401660919189453,1.1695959568023682,4.973243236541748,38.74079513549805,69.78983306884766
legacy_market_compact20,legacy_all,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200732_e9d863,23.430683135986328,2.6108181476593018,9.610029220581056,28.457204818725582,37.24147415161133
legacy_market_compact20,legacy_all,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200735_123e9b,18.7581729888916,1.4194005727767944,4.132656574249268,25.683900833129883,35.91887664794922
legacy_market_compact20,legacy_all,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200737_964ea8,69.4011459350586,10.380309104919434,22.633176803588867,91.49747467041016,110.4574203491211
legacy_market_compact20,legacy_all,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200739_ea5788,105.48483276367188,11.319125175476074,26.40315818786621,132.65687561035156,224.5314178466797
legacy_market_stack_all,legacy_all,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200740_26c182,28.83449935913086,1.1663411855697632,4.900945663452148,39.65069580078125,70.71292877197266
legacy_market_stack_all,legacy_all,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200744_846cf3,22.807058334350582,2.587738513946533,9.55238914489746,27.774168014526367,35.6747932434082
legacy_market_stack_all,legacy_all,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200747_9d73df,19.554370880126953,1.423223614692688,4.135386943817139,26.977983474731445,37.78346633911133
legacy_market_stack_all,legacy_all,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200750_aa3c09,72.11817169189453,10.410884857177734,22.70140838623047,95.3711166381836,117.28384399414062
legacy_market_stack_all,legacy_all,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_200753_b724c0,113.4712905883789,11.628941535949709,25.585248947143555,149.36366271972656,241.3367919921875
