model,display_name,n_origins,path_mse,path_rmse,path_mae,h1_mse,h1_rmse,h1_mae,h5_mse,h5_rmse,h5_mae,h20_mse,h20_rmse,h20_mae,h30_mse,h30_rmse,h30_mae
Baseline paper CoT-SENT,Baseline paper CoT-SENT,1,138.19572999999997,11.755667994631354,9.227,7.075600000000057,2.660000000000011,2.660000000000011,0.04409999999999737,0.20999999999999375,0.20999999999999375,124.09960000000001,11.14,11.14,297.9076000000002,17.260000000000005,17.260000000000005
gate_sentiment_alignment_5d,Sentiment-Alignment Gate,1,138.19572999999997,11.755667994631354,9.227,7.075600000000057,2.660000000000011,2.660000000000011,0.04409999999999737,0.20999999999999375,0.20999999999999375,124.09960000000001,11.14,11.14,297.9076000000002,17.260000000000005,17.260000000000005
35B raw guarded HDELTA,35B Raw Guarded HDELTA,1,146.5915992566923,12.107501776035066,9.639418207160102,0.4960263505283831,0.7042913818359438,0.7042913818359438,2.6817542700196775,1.6376062622070293,1.6376062622070293,129.28538877704148,11.370373291015625,11.370373291015625,324.7039947921683,18.01954479980469,18.01954479980469
4B raw HDELTA,4B Raw HDELTA,1,155.85283216043402,12.48410317805945,10.000546040412056,1.1143635986414813,1.0556342163086043,1.0556342163086043,2.9824299702739245,1.7269713287353454,1.7269713287353454,144.10049134193807,12.004186408996574,12.004186408996574,337.97625398968484,18.384130493164065,18.384130493164065
Raw tsm,Raw TSM,1,158.7455191971098,12.599425351860686,10.154550771077474,0.4960263505283831,0.7042913818359438,0.7042913818359438,3.9802904524240463,1.995066528320308,1.995066528320308,146.2825213521928,12.094731140136716,12.094731140136716,344.7120756342948,18.56642333984375,18.56642333984375
