feature,family,summary_stat,score,selected_above_threshold
uk_icap_secondary,uk_icap,last,6.200368881225586,True
coal_brent_ratio,energy,last,3.768247127532959,True
uk_icap_primary_lag_20,uk_icap,last,2.806307077407837,True
uk_temp_mean_c,weather,std_20,2.7285027503967285,True
coal_brent_ratio,energy,change_20,2.252098321914673,True
eurusd,fx,last,2.119659185409546,True
uk_temp_min_c,weather,std_20,1.5313080549240112,True
uk_temp_max_c,weather,std_20,1.4905548095703125,True
y_ma_20d,target_derived,std_20,1.4860464334487915,True
coal_vol_5d,energy,std_20,1.326444149017334,True
uk_icap_primary,uk_icap,last,1.2381455898284912,True
auction_price_rolling_mean_20,uk_auction,std_20,1.2254071235656738,True
uk_icap_primary_secondary_spread,uk_icap,std_20,1.202676773071289,True
uk_hdd18_7d_ma,weather,std_20,1.183699369430542,True
uk_gas_vol_20d,energy,std_20,1.0957026481628418,True
y_momentum_5d,target_derived,std_20,0.9752854108810425,True
uk_hdd18,weather,std_20,0.973659336566925,True
uk_icap_spread_lag_1,uk_icap,last,0.8718850612640381,True
auction_price_eur,uk_auction,std_20,0.8362900018692017,True
uk_gas_price,energy,std_20,0.8196346759796143,True
uk_icap_secondary_days_since_print,uk_icap,last,0.7846938371658325,True
eua_range_pct,other,std_20,0.7824755907058716,True
brent_price,energy,std_20,0.7522730827331543,True
brent_vol_5d,energy,std_20,0.7113686800003052,True
uk_power_gas_ratio,energy,std_20,0.7065656781196594,True
uk_power_return,energy,std_20,0.7062896490097046,True
uk_gas_return,energy,std_20,0.6998992562294006,True
y_vol_20d,target_derived,last,0.6902315616607666,True
uk_power_vol_5d,energy,std_20,0.6856899857521057,True
coal_brent_ratio,energy,std_20,0.6645240187644958,True
brent_vol_20d,energy,change_20,0.6619547009468079,True
auction_price_lag_20,uk_auction,last,0.6610509753227234,True
uk_gas_vol_20d,energy,change_20,0.6435862183570862,True
auction_price_lag_1,uk_auction,std_20,0.6138824820518494,True
auction_price_lag_20,uk_auction,std_20,0.610329806804657,True
uk_power_gas_spread,energy,std_20,0.6060023307800293,True
y_ma_60d,target_derived,last,0.6058658361434937,True
y,target_derived,last,0.5988359451293945,True
auction_price_lag_1,uk_auction,change_20,0.5869399905204773,True
uk_icap_secondary_print_day,uk_icap,last,0.5756993889808655,True
y_ma_5d,target_derived,std_20,0.567428708076477,True
uk_icap_spread_lag_5,uk_icap,std_20,0.5447975397109985,True
eurusd,fx,change_20,0.5235040783882141,True
brent_return,energy,std_20,0.5160977244377136,True
eua_low,other,std_20,0.5034030079841614,True
y_ma_60d,target_derived,change_20,0.4920380413532257,True
target_volume,target_derived,std_20,0.4854178726673126,True
uk_icap_secondary_days_since_print,uk_icap,std_20,0.4798630177974701,True
uk_icap_spread_lag_20,uk_icap,last,0.47279465198516846,True
y_vol_20d,target_derived,change_20,0.4680681824684143,True
uk_icap_primary_days_since_print,uk_icap,std_20,0.4616817533969879,True
coal_return,energy,std_20,0.4075954854488373,True
coal_vol_20d,energy,std_20,0.40682536363601685,True
eua_volume,other,std_20,0.3859553635120392,True
y_ma_20d,target_derived,change_20,0.3840242624282837,True
uk_power_vol_20d,energy,change_20,0.35715195536613464,True
uk_icap_spread_z20,uk_icap,std_20,0.35367539525032043,True
is_auction_day,uk_auction,std_20,0.3501723110675812,True
auction_price_lag_20,uk_auction,change_20,0.29616671800613403,True
y_ma_60d,target_derived,change_5,0.2866191565990448,True
auction_price_lag_1,uk_auction,change_5,0.27858904004096985,True
uk_icap_primary_secondary_spread,uk_icap,change_20,0.27298086881637573,True
uk_icap_primary_print_day,uk_icap,std_20,0.2650986611843109,True
target_range_pct,target_derived,std_20,0.2580147087574005,True
brent_vol_5d,energy,last,0.2571875751018524,True
y_return,target_derived,last,0.2550303339958191,True
coal_price,energy,std_20,0.2518812119960785,True
auction_price_rolling_mean_20,uk_auction,change_20,0.24998949468135834,True
uk_icap_spread_lag_5,uk_icap,change_20,0.2495308816432953,True
auction_price_lag_5,uk_auction,change_5,0.24802391231060028,True
coal_vol_5d,energy,last,0.24600720405578613,True
uk_power_price,energy,change_5,0.2382194995880127,True
uk_icap_primary_print_day,uk_icap,last,0.2366188019514084,True
brent_vol_5d,energy,change_20,0.2305811643600464,True
coal_brent_ratio,energy,change_5,0.22724951803684235,True
uk_hdd18_7d_ma,weather,change_20,0.2264656126499176,True
brent_price,energy,change_5,0.22206056118011475,True
eua_range,other,change_5,0.2170366495847702,True
eurusd,fx,change_5,0.2082262486219406,True
uk_icap_secondary,uk_icap,change_5,0.20624540746212006,True
y_momentum_20d,target_derived,std_20,0.20547175407409668,True
target_volume,target_derived,last,0.20464441180229187,True
uk_gas_price,energy,last,0.2012694627046585,True
eua_range,other,std_20,0.19742943346500397,True
eurusd,fx,std_20,0.19348329305648804,True
uk_power_vol_5d,energy,change_5,0.19333447515964508,True
uk_icap_primary_lag_20,uk_icap,std_20,0.19138245284557343,True
auction_price_eur,uk_auction,change_20,0.1806095987558365,True
y_momentum_5d,target_derived,last,0.17891603708267212,True
target_range,target_derived,change_5,0.1780545711517334,True
eua_range_pct,other,change_5,0.1753515899181366,True
brent_vol_5d,energy,change_5,0.1747463196516037,True
uk_icap_primary_days_since_print,uk_icap,change_20,0.17158205807209015,True
target_range_pct,target_derived,change_5,0.16756193339824677,True
uk_temp_mean_7d_ma,weather,change_5,0.1599295437335968,True
brent_return,energy,change_5,0.15276026725769043,True
uk_icap_spread_z20,uk_icap,last,0.15023769438266754,True
coal_vol_5d,energy,change_20,0.1492956280708313,True
uk_icap_dow_sin,uk_icap,change_5,0.14753367006778717,True
uk_icap_spread_z20,uk_icap,change_5,0.14477720856666565,True
eua_low,other,change_5,0.1421370953321457,True
uk_icap_secondary_print_day,uk_icap,std_20,0.13606050610542297,True
y_vol_20d,target_derived,change_5,0.1355455070734024,True
uk_power_gas_spread,energy,last,0.13395483791828156,True
target_range_pct,target_derived,change_20,0.12926748394966125,True
uka_range,other,change_5,0.12491912394762039,True
uk_icap_primary_secondary_spread_pct,uk_icap,change_20,0.12435554713010788,True
uk_icap_spread_lag_20,uk_icap,change_5,0.1192704364657402,True
eua_range_pct,other,last,0.11790058761835098,True
coal_price,energy,change_20,0.11481814086437225,True
uka_range_pct,other,change_5,0.1117301657795906,True
uk_power_return,energy,change_5,0.1096046045422554,True
uk_icap_spread_lag_1,uk_icap,change_20,0.10869735479354858,True
brent_return,energy,change_20,0.10310240089893341,True
coal_vol_20d,energy,last,0.10242507606744766,True
uk_temp_mean_c,weather,change_20,0.10225950926542282,True
coal_vol_5d,energy,change_5,0.10144006460905075,True
uk_icap_primary_lag_20,uk_icap,change_5,0.0996195450425148,True
uk_icap_spread_lag_5,uk_icap,last,0.09816467761993408,True
y_ma_60d,target_derived,std_20,0.09676846116781235,True
uk_hdd18,weather,change_5,0.09482789784669876,True
uk_icap_primary_print_day,uk_icap,change_20,0.09443835914134979,True
uk_gas_return,energy,change_5,0.0909385234117508,True
uk_hdd18,weather,change_20,0.08927012979984283,True
uk_temp_mean_c,weather,change_5,0.08907006680965424,True
uk_gas_price,energy,change_5,0.08896835893392563,True
y_momentum_20d,target_derived,last,0.08756732940673828,True
uk_icap_primary_days_since_print,uk_icap,change_5,0.08695957064628601,True
target_range,target_derived,std_20,0.08563005924224854,True
eua_range_pct,other,change_20,0.08328714966773987,True
uk_gas_price,energy,change_20,0.08315780013799667,True
uk_icap_spread_lag_20,uk_icap,std_20,0.07859635353088379,True
target_volume,target_derived,change_20,0.07839374989271164,True
uk_icap_dow_cos,uk_icap,change_5,0.07628825306892395,True
uk_temp_max_c,weather,change_5,0.07537166029214859,True
auction_price_lag_5,uk_auction,std_20,0.07510268688201904,True
brent_vol_20d,energy,last,0.07455064356327057,True
is_auction_day,uk_auction,change_20,0.06937411427497864,True
uk_temp_min_c,weather,change_20,0.06845660507678986,True
uk_gas_vol_20d,energy,last,0.06836450099945068,True
uk_icap_primary,uk_icap,std_20,0.06712944805622101,True
brent_vol_20d,energy,std_20,0.0669003501534462,True
uk_temp_mean_7d_ma,weather,change_20,0.06371639668941498,True
uk_temp_min_c,weather,last,0.0630037859082222,True
y_momentum_5d,target_derived,change_5,0.05845809355378151,True
uk_icap_secondary_print_day,uk_icap,change_20,0.05286015570163727,True
y_return,target_derived,change_20,0.052407972514629364,True
uk_icap_spread_lag_5,uk_icap,change_5,0.05213279277086258,True
uk_gas_vol_5d,energy,change_20,0.04923278093338013,True
uk_icap_dow_cos,uk_icap,last,0.04772331938147545,True
y_return,target_derived,std_20,0.04599856212735176,True
uk_icap_spread_lag_1,uk_icap,change_5,0.04429289698600769,True
uk_gas_vol_5d,energy,change_5,0.043058816343545914,True
