variant,window,threshold,keep_share,base_path_mse,wide8_path_mse,filtered_path_mse,uplift_vs_base_pct,uplift_vs_wide8_pct
uplift_logistic_helpful_strict,W1,0.5,0.1888111888111888,23.257937062947487,23.18933570687182,23.162602283057897,0.004099021320402074,0.0011528326706660152
uplift_logistic_helpful_strict,W2,0.6000000000000001,0.21232876712328766,18.598326623039178,18.628799216367142,18.598262355506858,3.4555545572745316e-06,0.0016392286215343166
uplift_logistic_helpful_strict,W3,0.65,0.22602739726027396,68.51536965034607,67.29018081705841,67.33142049570644,0.01728005206250327,-0.0006128632461270822
uplift_logistic_helpful_strict,W4,0.35,0.7876712328767124,101.73526716850306,101.72452608759761,101.72452608759761,0.00010557873591321432,0.0
uplift_gbdt_helpful_strict,W1,0.35,0.0,23.257937062947487,23.18933570687182,23.257937062947487,0.0,-0.0029583148453595776
uplift_gbdt_helpful_strict,W2,0.45,0.00684931506849315,18.598326623039178,18.628799216367142,18.597585961649283,3.982408766689538e-05,0.001675537663771376
uplift_gbdt_helpful_strict,W3,0.35,0.0958904109589041,68.51536965034607,67.29018081705841,68.33735786901133,0.002598129182447506,-0.015562107862362229
uplift_gbdt_helpful_strict,W4,0.35,0.15753424657534246,101.73526716850306,101.72452608759761,101.66752502867887,0.0006658668297591097,0.000560347254600746
uplift_gbdt_path_reg,W1,0.1,0.32167832167832167,23.257937062947487,23.18933570687182,23.17235107303373,0.0036798616180840904,0.0007324329619781134
uplift_gbdt_path_reg,W2,0.05,0.5547945205479452,18.598326623039178,18.628799216367142,18.59349927052441,0.000259558433003626,0.001894912572342089
uplift_gbdt_path_reg,W3,0.0,0.5958904109589042,68.51536965034607,67.29018081705841,67.41598363273357,0.016045830639504488,-0.0018695568082538472
uplift_gbdt_path_reg,W4,0.05,0.958904109589041,101.73526716850306,101.72452608759761,101.72452608759761,0.00010557873591321432,0.0
