name,tsm_type,target_mode,seq_len,label_len,batch_size,learning_rate,max_epochs,patience,d_model,n_heads,e_layers,d_ff,dropout,weight_decay,grad_clip,dlinear_individual,kernel_size,dlinear_channel_mixer,max_exogenous_features_model,use_residual_wrapper,residual_alpha,n_features,best_val_loss,epochs_ran,val_path_mse,test_path_mse,h1_mse,h5_mse,h20_mse,h30_mse
resmix_fc10,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.595875047147274,40,16.984655380249023,29.70929718017578,1.1347216367721558,4.776436805725098,40.99016189575195,74.83971405029297
resmix_fc8,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,8,False,0.1,9,0.5957645997405052,40,17.036361694335938,29.74767303466797,1.1315674781799316,4.785730361938477,41.04079055786133,74.83516693115234
resmix_fc4,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,4,False,0.1,5,0.5959118381142616,40,17.13620376586914,29.9266357421875,1.1597570180892944,5.34745979309082,40.788455963134766,72.43607330322266
resmix_fc6,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,6,False,0.1,7,0.5958752110600471,40,17.15850067138672,30.154983520507812,1.165719985961914,5.461166858673096,41.056312561035156,72.38618469238281
