candidate,window,train_end,val_end,test_end,run_dir,tsm_path_mse,tsm_h20,tsm_h30,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct,k_examples
baseline_regime_specific,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_223103_53a87b,23.25793838500977,28.18958282470703,36.62714385986328,23.250956809856216,28.265904442931955,36.661104651921086,0.0003001803099647,-0.0027074405002556,-0.0009272028468214,4
baseline_regime_specific,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_223836_2d42e3,18.59832763671875,25.401012420654297,35.6187744140625,18.63577806622867,25.41522270331303,35.793150007980785,-0.0020136450030046,-0.0005594376485238,-0.0048956090372789,4
baseline_regime_specific,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_224506_9db393,68.51536560058594,89.81409454345703,109.4663314819336,68.27788148628572,89.57287148405719,108.12623266582436,0.0034661438674157,0.0026858040558781,0.0122421094958352,4
baseline_regime_specific,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_225250_5a77f0,101.73527526855467,124.65435028076172,216.0431365966797,102.40547974686126,125.8038266695059,216.88162129857017,-0.0065877295415717,-0.0092213098552531,-0.0038810985393893,4
,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_140039_8b71c3,23.25793838500977,28.18958282470703,36.62714385986328,23.261268013218366,28.26765542044492,36.68444041382736,-0.00014316093513877526,-0.0027695548466741826,-0.0015643194616348222,2
,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_140813_659842,18.59832763671875,25.401012420654297,35.6187744140625,18.635399583350605,25.41644836724702,35.80980934651994,-0.0019932946314302757,-0.0006076902108111959,-0.005363321327025217,2
,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_141439_ed7dce,68.51536560058594,89.81409454345703,109.4663314819336,68.19415808756396,89.47696713424858,108.02898994391212,0.004688109159257325,0.0037536136273725873,0.013130444023865873,2
,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_142221_57b0bd,101.73527526855467,124.65435028076172,216.0431365966797,102.26506510408582,125.55071560980376,217.0684344456023,-0.005207533317550306,-0.0071908066346912936,-0.004745801533314609,2
,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_142818_7f71c3,23.25793838500977,28.18958282470703,36.62714385986328,23.261268013218366,28.26765542044492,36.68444041382736,-0.00014316093513877526,-0.0027695548466741826,-0.0015643194616348222,3
,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_143549_68f8cf,18.59832763671875,25.401012420654297,35.6187744140625,18.635399583350605,25.41644836724702,35.80980934651994,-0.0019932946314302757,-0.0006076902108111959,-0.005363321327025217,3
,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_144218_bb255b,68.51536560058594,89.81409454345703,109.4663314819336,68.19415808756396,89.47696713424858,108.02898994391212,0.004688109159257325,0.0037536136273725873,0.013130444023865873,3
,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_145002_968479,101.73527526855467,124.65435028076172,216.0431365966797,102.26506510408582,125.55071560980376,217.0684344456023,-0.005207533317550306,-0.0071908066346912936,-0.004745801533314609,3
,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_145602_49c06f,23.25793838500977,28.18958282470703,36.62714385986328,23.261268013218366,28.26765542044492,36.68444041382736,-0.00014316093513877526,-0.0027695548466741826,-0.0015643194616348222,5
,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_150334_f5ea92,18.59832763671875,25.401012420654297,35.6187744140625,18.635399583350605,25.41644836724702,35.80980934651994,-0.0019932946314302757,-0.0006076902108111959,-0.005363321327025217,5
,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_151004_0e642a,68.51536560058594,89.81409454345703,109.4663314819336,68.19415808756396,89.47696713424858,108.02898994391212,0.004688109159257325,0.0037536136273725873,0.013130444023865873,5
,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_151749_f7ad7d,101.73527526855467,124.65435028076172,216.0431365966797,102.26506510408582,125.55071560980376,217.0684344456023,-0.005207533317550306,-0.0071908066346912936,-0.004745801533314609,5
,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_152348_cc5076,23.25793838500977,28.18958282470703,36.62714385986328,23.261268013218366,28.26765542044492,36.68444041382736,-0.00014316093513877526,-0.0027695548466741826,-0.0015643194616348222,6
,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_153620_8227a3,18.59832763671875,25.401012420654297,35.6187744140625,18.635399583350605,25.41644836724702,35.80980934651994,-0.0019932946314302757,-0.0006076902108111959,-0.005363321327025217,6
,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_154252_1a162d,68.51536560058594,89.81409454345703,109.4663314819336,68.19415808756396,89.47696713424858,108.02898994391212,0.004688109159257325,0.0037536136273725873,0.013130444023865873,6
,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_155038_874427,101.73527526855467,124.65435028076172,216.0431365966797,102.26506510408582,125.55071560980376,217.0684344456023,-0.005207533317550306,-0.0071908066346912936,-0.004745801533314609,6
,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_155639_77b109,23.25793838500977,28.18958282470703,36.62714385986328,23.261268013218366,28.26765542044492,36.68444041382736,-0.00014316093513877526,-0.0027695548466741826,-0.0015643194616348222,20
,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_160412_a4e9af,18.59832763671875,25.401012420654297,35.6187744140625,18.635399583350605,25.41644836724702,35.80980934651994,-0.0019932946314302757,-0.0006076902108111959,-0.005363321327025217,20
,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_161039_9d05e9,68.51536560058594,89.81409454345703,109.4663314819336,68.19415808756396,89.47696713424858,108.02898994391212,0.004688109159257325,0.0037536136273725873,0.013130444023865873,20
,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_161821_ae01a3,101.73527526855467,124.65435028076172,216.0431365966797,102.26506510408582,125.55071560980376,217.0684344456023,-0.005207533317550306,-0.0071908066346912936,-0.004745801533314609,20
,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_162921_1d44ba,23.25793838500977,28.18958282470703,36.62714385986328,23.261268013218366,28.26765542044492,36.68444041382736,-0.00014316093513877526,-0.0027695548466741826,-0.0015643194616348222,30
,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_163655_1b3552,18.59832763671875,25.401012420654297,35.6187744140625,18.635399583350605,25.41644836724702,35.80980934651994,-0.0019932946314302757,-0.0006076902108111959,-0.005363321327025217,30
,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_164324_62a763,68.51536560058594,89.81409454345703,109.4663314819336,68.19415808756396,89.47696713424858,108.02898994391212,0.004688109159257325,0.0037536136273725873,0.013130444023865873,30
,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_165109_61cb98,101.73527526855467,124.65435028076172,216.0431365966797,102.26506510408582,125.55071560980376,217.0684344456023,-0.005207533317550306,-0.0071908066346912936,-0.004745801533314609,30
