policy,test_window,prior_windows,train_max_date,test_min_date,selected_candidate,threshold,validation_macro_mse,n_test,n_applied_opportunities,keep_share_applied,base_mse,always_accept_mse,selected_mse,improvement_vs_base_pct,improvement_vs_always_accept_pct
precall,W2,W4+W3,2024-01-12,2024-02-23,ridge_a0.1,-75.0892060843841,67.05891312479662,146,37,1.0,18.598326623039178,18.628799216367142,18.628799216367142,-0.16384588756611793,0.0
precall,W1,W4+W3+W2,2024-09-16,2024-10-28,ridge_a0.1,-74.40927635875497,42.84385617058188,143,65,1.0,23.257937062947487,23.18933570687182,23.18933570687182,0.29495890323375856,0.0
postcall,W2,W4+W3,2024-01-12,2024-02-23,ridge_a100,-0.2723402579244642,66.94936822791311,146,37,1.0,18.598326623039178,18.628799216367142,18.628799216367142,-0.16384588756611793,0.0
postcall,W1,W4+W3+W2,2024-09-16,2024-10-28,ridge_a100,-0.15267685086614818,42.78908372214013,143,65,0.6307692307692307,23.257937062947487,23.18933570687182,23.187629315760002,0.3022957152098113,0.007358516575839111
