w,horizon,mse
0.0,1,0.08480400092244963
0.25,1,0.08480400092244963
0.5,1,0.08480400092244963
0.75,1,0.08480400092244963
1.0,1,0.08480400092244963
0.0,2,0.3135076109597867
0.25,2,0.31206897051814153
0.5,2,0.3109802091201621
0.75,2,0.3102413267658518
1.0,2,0.3098523234552114
0.0,3,0.6572287498012883
0.25,3,0.6533394318887608
0.5,3,0.6506319792154734
0.75,3,0.6491063917814267
1.0,3,0.6487626695866241
0.0,4,1.072323682703427
0.25,4,1.0640215435908809
0.5,4,1.0580200748009831
0.75,4,1.0543192763337346
1.0,4,1.0529191481891305
0.0,5,1.5361556013388327
0.25,5,1.524373554753626
0.5,5,1.5166963037184087
0.75,5,1.5131238482331801
1.0,5,1.5136561882979405
0.0,6,2.0429593119797937
0.25,6,2.022568369628296
0.5,6,2.0092592244454788
0.75,6,2.003031876431342
1.0,6,2.0038863255858828
0.0,7,2.5816705575840024
0.25,7,2.5502026347453897
0.5,7,2.529390373044559
0.75,7,2.5192337724815075
1.0,7,2.519732833056232
0.0,8,3.1746928293189556
0.25,8,3.132367780205383
0.5,8,3.10499377558739
0.75,8,3.092570815464971
1.0,8,3.095098899838139
0.0,9,3.8192858633607103
0.25,9,3.767602677784808
0.5,9,3.735744522948971
0.75,9,3.7237113988532093
1.0,9,3.731503305497505
0.0,10,4.551375307898124
0.25,10,4.487288019904032
0.5,10,4.449101943400159
0.75,10,4.4368170783864995
1.0,10,4.450433424863064
0.0,11,5.342492336040014
0.25,11,5.2600248114310855
0.5,11,5.2113402800634345
0.75,11,5.196438741937047
1.0,11,5.215320197051921
0.0,12,6.227692807416315
0.25,12,6.126224755950565
0.5,12,6.067435073403044
0.75,12,6.05132375977375
1.0,12,6.0778908150626805
0.0,13,7.18636931809946
0.25,13,7.06091946296944
0.5,13,6.988133696151419
0.75,13,6.9680120176453775
1.0,13,7.0005544274513225
0.0,14,8.184566455087042
0.25,14,8.028528354191184
0.5,14,7.938999417186068
0.75,14,7.9159796440717045
1.0,14,7.959469034848089
0.0,15,9.202825478505256
0.25,15,9.000768466988038
0.5,15,8.880686690582744
0.75,15,8.842580149289375
1.0,15,8.886448843107926
0.0,16,10.217481067596818
0.25,16,9.98873462758757
0.5,16,9.857904047481048
0.75,16,9.824989327277255
1.0,16,9.889990466976187
0.0,17,11.25755864801322
0.25,17,10.994179448897608
0.5,17,10.849045896218856
0.75,17,10.822157989976963
1.0,17,10.91351573017193
0.0,18,12.222967575088552
0.25,18,11.944113963034415
0.5,18,11.798202055905545
0.75,18,11.785231853701925
1.0,18,11.905203356423554
0.0,19,13.078453497160954
0.25,19,12.724540609283705
0.5,19,12.531276851084334
0.75,19,12.498662222562805
1.0,19,12.626696723719133
0.0,20,13.819216589550779
0.25,20,13.364184423458093
0.5,20,13.084476013173191
0.75,20,12.9800913586961
1.0,20,13.051030460026816
0.0,21,14.435861501495237
0.25,21,13.85806494242245
0.5,21,13.486750668417287
0.75,21,13.32191867947977
1.0,21,13.363568975609876
0.0,22,14.967630087278813
0.25,22,14.403203256631585
0.5,22,14.067171608198489
0.75,22,13.959535141979499
1.0,22,14.080293857974652
0.0,23,15.479092617288261
0.25,23,14.91777556975008
0.5,23,14.628089633526931
0.75,23,14.610034808618789
1.0,23,14.863611095025647
0.0,24,16.041293485841596
0.25,24,15.359280068464779
0.5,24,14.98123865552193
0.75,24,14.907169247013028
1.0,24,15.13707184293811
0.0,25,16.848383815153937
0.25,25,16.037301272088563
0.5,25,15.53813625956339
0.75,25,15.350888777578371
1.0,25,15.475558826133573
0.0,26,17.977701740637276
0.25,26,17.137963343576843
0.5,26,16.637940574569246
0.75,26,16.47763343361449
1.0,26,16.65704192071256
0.0,27,19.5350231800288
0.25,27,18.847160659643354
0.5,27,18.56345511869904
0.75,27,18.683906557195854
1.0,27,19.208514975133802
0.0,28,21.851658593498723
0.25,28,21.012029360331436
0.5,28,20.627394029059474
0.75,28,20.697752599682822
1.0,28,21.223105072201516
0.0,29,25.18513128608014
0.25,29,23.94464145495207
0.5,29,23.221307840695594
0.75,29,23.015130443310735
1.0,29,23.326109262797512
0.0,30,30.115734897064105
0.25,30,28.660256453531506
0.5,30,27.809075957539743
0.75,30,27.56219340908883
1.0,30,27.919608808178737
