w,horizon,mse
0.0,1,0.08480400092244963
1.0,2,0.3098523234552114
1.0,3,0.6487626695866241
1.0,4,1.0529191481891305
0.75,5,1.5131238482331801
0.75,6,2.003031876431342
0.75,7,2.5192337724815075
0.75,8,3.092570815464971
0.75,9,3.7237113988532093
0.75,10,4.4368170783864995
0.75,11,5.196438741937047
0.75,12,6.05132375977375
0.75,13,6.9680120176453775
0.75,14,7.9159796440717045
0.75,15,8.842580149289375
0.75,16,9.824989327277255
0.75,17,10.822157989976963
0.75,18,11.785231853701925
0.75,19,12.498662222562805
0.75,20,12.9800913586961
0.75,21,13.32191867947977
0.75,22,13.959535141979499
0.75,23,14.610034808618789
0.75,24,14.907169247013028
0.75,25,15.350888777578371
0.75,26,16.47763343361449
0.5,27,18.56345511869904
0.5,28,20.627394029059474
0.75,29,23.015130443310735
0.75,30,27.56219340908883
