run_label,run_dir,model,path_mse,horizon,transaction_cost_bps,gross_total_return_offset_avg,gross_annualized_return_offset_avg,gross_sharpe_offset_avg,gross_max_drawdown_offset_avg,gross_total_return_offset_min,gross_total_return_offset_max,net_total_return_offset_avg,net_annualized_return_offset_avg,net_sharpe_offset_avg,net_max_drawdown_offset_avg,net_total_return_offset_min,net_total_return_offset_max,legacy_total_return_non_overlap,legacy_annualized_return_non_overlap,legacy_sharpe_non_overlap,legacy_max_drawdown_non_overlap
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,tsm,22.72635269165039,1,10.0,0.5044988342834447,1.043787540568407,2.6796772581990607,0.13923315217102628,0.5044988342834447,0.5044988342834447,0.12785291063011095,0.2343599243432284,0.8892283905463518,0.16245822833012313,0.12785291063011095,0.12785291063011095,0.5044990369214422,1.043788022297469,2.679677994436271,0.1392330609267441
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,tsm,22.72635269165039,5,10.0,0.5608022001113768,1.192369848462877,3.1996793289062664,0.0746977541826926,0.35759387732677195,0.8176206690369465,0.47334774516550715,0.9820519524854866,2.8068443074844547,0.08033728484380173,0.2810562150246081,0.7151478756017575,0.3575940133016839,0.701159184633416,2.1301841983827092,0.0961764348919218
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,tsm,22.72635269165039,20,10.0,0.54202496556983,1.2080848254996428,2.4402163994812094,0.05577961952547492,-0.1635821057436181,1.2045907931614814,0.5199391758789447,1.1531091991274969,2.350722252332003,0.05875836115610052,-0.17686488877979611,1.169580660797977,1.2045891849822,2.4732903067149907,2.282767720698908,0.0269017357681744
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,tsm,22.72635269165039,30,10.0,0.6100404789068379,1.3169317289841316,2.641941817288459,0.019003096284316696,-0.037199379050309234,1.274507174402248,0.5944739713591878,1.2783132673209177,2.5809739214075975,0.02021918666868578,-0.04487487945001267,1.251864183017287,0.009233136560272,0.0155603168714537,0.1771176043702406,0.1229448771941509
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,TSM+LLM-COT-RF-HDELTA,21.852871112439548,1,10.0,0.5044988342834447,1.043787540568407,2.6796772581990607,0.13923315217102628,0.5044988342834447,0.5044988342834447,0.12785291063011095,0.2343599243432284,0.8892283905463518,0.16245822833012313,0.12785291063011095,0.12785291063011095,0.5044990369214422,1.043788022297469,2.679677994436271,0.1392330609267441
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,TSM+LLM-COT-RF-HDELTA,21.852871112439548,5,10.0,0.5742371541176073,1.2221596670901986,3.2695663846039573,0.06832128519898403,0.4247686473579244,0.8176206690369465,0.48602527090843495,1.008983981411112,2.875654118553623,0.07238443287102063,0.3444438437392465,0.7151478756017575,0.424768903183528,0.8501085589878543,2.4796201936103075,0.0642941218110292
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,TSM+LLM-COT-RF-HDELTA,21.852871112439548,20,10.0,0.5486302828993179,1.227658649953347,2.47391908564222,0.05577961952547492,-0.1635821057436181,1.2045907931614814,0.5264526174519599,1.172195685754586,2.3839978635143875,0.05875836115610052,-0.17686488877979611,1.169580660797977,1.2045891849822,2.4732903067149907,2.282767720698908,0.0269017357681744
forecast_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_135144_bb26cf,TSM+LLM-COT-RF-HDELTA,21.852871112439548,30,10.0,0.633502222436926,1.375857812305143,2.72351469169027,0.01599097729314095,-0.037199379050309234,1.274507174402248,0.6177021504219458,1.3362571746627117,2.6620232783871387,0.017146455570040065,-0.04487487945001267,1.251864183017287,0.009233136560272,0.0155603168714537,0.1771176043702406,0.1229448771941509
trading_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_144036_eb8115,TSM+LLM-COT-RF-HDELTA,21.911750635406243,1,10.0,0.5044988342834447,1.043787540568407,2.6796772581990607,0.13923315217102628,0.5044988342834447,0.5044988342834447,0.12785291063011095,0.2343599243432284,0.8892283905463518,0.16245822833012313,0.12785291063011095,0.12785291063011095,0.5044990369214422,1.043788022297469,2.679677994436271,0.1392330609267441
trading_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_144036_eb8115,TSM+LLM-COT-RF-HDELTA,21.911750635406243,5,10.0,0.5800491470180106,1.2353744688678092,3.299468532331079,0.07469775418269257,0.4273779110550595,0.8176206690369465,0.49150959854948295,1.0209310640091451,2.905084711178445,0.08033728484380172,0.34960386195863635,0.7151478756017575,0.4538287541305807,0.916182316429287,2.629130390277096,0.0961764348919218
trading_winner,/Users/davidwilkinson/Desktop/ETS 2/runs/20260311_144036_eb8115,TSM+LLM-COT-RF-HDELTA,21.911750635406243,20,10.0,0.5554647646888965,1.2439182965857025,2.6351618297756487,0.050915324922746974,-0.1635821057436181,1.1456594235229138,0.5331978442150024,1.1880505090541236,2.5426030907640724,0.05380384027828343,-0.17686488877979611,1.1115851542038393,1.1456578284045429,2.3281871015745383,2.1905298049784636,0.0269017357681744
