horizon,mse,rmse,mae,mape,model,subset,n_samples
1,9.39426040649414,3.0650057792663574,1.9993150234222412,4.795016348361969,naive_persistence,full,146
5,19.106578826904297,4.37110710144043,3.583150863647461,8.687574416399002,naive_persistence,full,146
20,49.848785400390625,7.060367107391357,6.106027126312256,15.61073362827301,naive_persistence,full,146
30,31.933486938476562,5.650972366333008,4.40458869934082,11.529040336608887,naive_persistence,full,146
1,19.00576764482864,4.359560487575398,3.550342429174136,8.498325853361901,seasonal_naive,full,146
5,19.10657964477765,4.371107370538689,3.583150915903588,8.68757459452136,seasonal_naive,full,146
20,49.84878444236065,7.060367160591626,6.1060275508932875,15.61073472028923,seasonal_naive,full,146
30,31.9334859628155,5.650972125467927,4.4045890390056455,11.529040889004685,seasonal_naive,full,146
1,10.414163637075957,3.2270983308656644,2.2850385953302252,5.559382112944659,linear_ridge,full,146
5,43.636068010622395,6.605760214435762,5.812507211345515,14.563281852347398,linear_ridge,full,146
20,338.7418498640759,18.40494090900799,17.549614318429608,45.53365578705326,linear_ridge,full,146
30,505.43651324497984,22.481915248594365,22.014138861878276,58.00726832244442,linear_ridge,full,146
1,20.603305153695633,4.539086378743594,3.858265706937607,9.54090729639581,linear_lasso,full,146
5,72.72467995279075,8.527876637990888,7.6799329992843,19.362474590997994,linear_lasso,full,146
20,418.2131157979732,20.450259553315533,19.826423984684357,51.33256527232783,linear_lasso,full,146
30,595.3833756854114,24.40047900524519,23.985184107741265,63.19917172080402,linear_lasso,full,146
1,10.905741691589355,3.3023841381073,2.307070016860962,5.539228022098541,tsm,full,146
5,32.26413345336914,5.680152416229248,4.6308817863464355,11.343780905008316,tsm,full,146
20,118.45315551757812,10.883618354797363,8.897538185119629,23.058131337165833,tsm,full,146
30,171.28721618652344,13.087674140930176,11.08914852142334,28.863829374313354,tsm,full,146
1,9.39426040649414,3.0650057792663574,1.9993150234222412,4.795016348361969,naive_persistence_llm_subset,llm_subset,146
5,19.106578826904297,4.37110710144043,3.583150863647461,8.687574416399002,naive_persistence_llm_subset,llm_subset,146
20,49.848785400390625,7.060367107391357,6.106027126312256,15.61073362827301,naive_persistence_llm_subset,llm_subset,146
30,31.933486938476562,5.650972366333008,4.40458869934082,11.529040336608887,naive_persistence_llm_subset,llm_subset,146
1,19.00576764482864,4.359560487575398,3.550342429174136,8.498325853361901,seasonal_naive_llm_subset,llm_subset,146
5,19.10657964477765,4.371107370538689,3.583150915903588,8.68757459452136,seasonal_naive_llm_subset,llm_subset,146
20,49.84878444236065,7.060367160591626,6.1060275508932875,15.61073472028923,seasonal_naive_llm_subset,llm_subset,146
30,31.9334859628155,5.650972125467927,4.4045890390056455,11.529040889004685,seasonal_naive_llm_subset,llm_subset,146
1,10.414163637075957,3.2270983308656644,2.2850385953302252,5.559382112944659,linear_ridge_llm_subset,llm_subset,146
5,43.636068010622395,6.605760214435762,5.812507211345515,14.563281852347398,linear_ridge_llm_subset,llm_subset,146
20,338.7418498640759,18.40494090900799,17.549614318429608,45.53365578705326,linear_ridge_llm_subset,llm_subset,146
30,505.43651324497984,22.481915248594365,22.014138861878276,58.00726832244442,linear_ridge_llm_subset,llm_subset,146
1,20.603305153695633,4.539086378743594,3.858265706937607,9.54090729639581,linear_lasso_llm_subset,llm_subset,146
5,72.72467995279075,8.527876637990888,7.6799329992843,19.362474590997994,linear_lasso_llm_subset,llm_subset,146
20,418.2131157979732,20.450259553315533,19.826423984684357,51.33256527232783,linear_lasso_llm_subset,llm_subset,146
30,595.3833756854114,24.40047900524519,23.985184107741265,63.19917172080402,linear_lasso_llm_subset,llm_subset,146
1,10.905741691589355,3.3023841381073,2.307070016860962,5.539228022098541,tsm_llm_subset,llm_subset,146
5,32.26413345336914,5.680152416229248,4.6308817863464355,11.343780905008316,tsm_llm_subset,llm_subset,146
20,118.45315551757812,10.883618354797363,8.897538185119629,23.058131337165833,tsm_llm_subset,llm_subset,146
30,171.28721618652344,13.087674140930176,11.08914852142334,28.863829374313354,tsm_llm_subset,llm_subset,146
