name,tsm_type,target_mode,seq_len,label_len,batch_size,learning_rate,max_epochs,patience,d_model,n_heads,e_layers,d_ff,dropout,weight_decay,grad_clip,dlinear_individual,kernel_size,use_residual_wrapper,residual_alpha,n_features,best_val_loss,epochs_ran,val_path_mse,test_path_mse,h1_mse,h5_mse,h20_mse,h30_mse
dlinear_ret_s60_l15,dlinear,returns,60,15,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.9279617667198181,36,26.334516525268555,22.54989242553711,1.0085378885269165,4.669439315795898,26.70284652709961,55.9680061340332
dlinear_ret_s40_l15,dlinear,returns,40,15,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.9121480584144592,40,28.043766021728516,19.48046112060547,0.8535841703414917,4.768677234649658,22.372852325439453,48.34334182739258
af_ret_s15_l5_m16,autoformer,returns,15,5,32,0.001,40,10,16,2,1,32,0.3,0.01,0.5,True,25,False,0.1,11,0.7396240234375,40,32.76995086669922,13.418384552001953,0.7945907711982727,3.3902428150177,14.054101943969727,35.38737106323242
af_ret_s20_l10_m32,autoformer,returns,20,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.7468081265687943,19,32.92885971069336,22.065616607666016,0.8771913051605225,4.874161243438721,25.719074249267578,55.972591400146484
af_ret_s30_l10_m32,autoformer,returns,30,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.7503791600465775,20,32.955177307128906,22.875925064086914,0.8798011541366577,5.059173583984375,26.822938919067383,57.5467414855957
dlinear_ret_s20_l10,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.8763436079025269,40,34.35264587402344,17.144804000854492,0.9277609586715698,4.5797834396362305,16.759876251220703,44.89641571044922
dlinear_price_s20_l10,dlinear,price,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.23636789619922638,40,34.609676361083984,18.42576026916504,2.0047190189361572,8.293927192687988,12.704421997070312,44.46866989135742
dlinear_price_s10_l5,dlinear,price,10,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.2390340268611908,40,34.970314025878906,16.10483741760254,1.2413662672042847,4.506973743438721,17.867733001708984,39.614097595214844
af_ret_s40_l15_m32,autoformer,returns,40,15,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.7544185966253281,16,35.71635055541992,27.07729148864746,0.9648616313934326,6.020783424377441,32.21996307373047,67.72508239746094
dlinear_ret_s10_l5,dlinear,returns,10,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.874111533164978,40,36.6843376159668,13.003385543823242,0.8916727304458618,4.296809673309326,11.929128646850586,35.42000961303711
af_price_s20_l10_m32,autoformer,price,20,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,11,0.21962422784417868,11,37.866539001464844,36.03105163574219,23.5212345123291,29.072702407836914,38.995887756347656,39.06698226928711
af_price_s15_l5_m16,autoformer,price,15,5,32,0.001,40,10,16,2,1,32,0.3,0.01,0.5,True,25,False,0.1,11,0.24338246136903763,40,38.3580207824707,26.891389846801758,17.194576263427734,22.764244079589844,27.45539093017578,27.85652732849121
af_ret_s30_l10_m32_resid,autoformer,returns,30,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,True,0.5,11,1.4067821502685547,21,735.6918334960938,357.3622741699219,1.6827621459960938,29.436588287353516,409.08837890625,1167.317138671875
