stage,base_model,run_dir,path_mse,base_path_mse,delta_vs_base,delta_vs_prior_stage,mse_h5,mse_h20,mse_h30,sharpe_h20,sharpe_h30,mean_h20_adjustment,mean_h30_adjustment,dominant_apply_pattern_share,apply_skip_count,keep,keep_reason
stage3a_hybrid_apply_skip_gate,tsm,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_023603_8e090d,40.7073683229624,40.85002517700195,-0.14265685403955075,,8.441840161070454,50.39598140305957,102.10427808458442,1.4327774754331073,1.2213948429737795,0.04351147619883118,0.045044398038814194,0.7878787878787878,123,True,beat_base_and_sharpe_ok
stage3b_hybrid_apply_skip_gate_medium,tsm,/Users/davidwilkinson/Desktop/ETS 2/runs/20260326_023908_f85346,40.69971081384736,40.85002517700195,-0.15031436315459246,-0.007657509115041705,8.441840161070454,50.40236435616756,102.06855675657955,1.4327774754331073,1.2213948429737795,0.06797820927546393,0.07518419857514015,0.5,82,True,beat_base_and_sharpe_ok
