model,display_name,n_origins,n_rows,path_mse,path_rmse,path_mae,horizons
tsm,Base TSM,21,630,62.49177804388357,7.9051741311550865,5.651918245830234,"{'h1': {'mse': 3.302158008659833, 'rmse': 1.8171840877191923, 'mae': 1.2209848749069945, 'mape': 1.7262702639188228}, 'h5': {'mse': 17.707262736315233, 'rmse': 4.207999849847339, 'mae': 3.265584963843936, 'mape': 4.446432356226683}, 'h20': {'mse': 97.55611900170467, 'rmse': 9.877050116391263, 'mae': 7.371628090994699, 'mape': 9.715636526623138}, 'h30': {'mse': 98.73892944506328, 'rmse': 9.93674642149347, 'mae': 7.502001030331566, 'mape': 10.408394293850343}}"
TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base,TSM + CoT Ramp Final Blend,21,630,67.15309058771598,8.19469893209726,6.051430024492904,"{'h1': {'mse': 3.302158008659833, 'rmse': 1.8171840877191923, 'mae': 1.2209848749069945, 'mape': 1.7262702639188228}, 'h5': {'mse': 17.560471546807374, 'rmse': 4.190521631826684, 'mae': 3.147400424625291, 'mape': 4.268285484663751}, 'h20': {'mse': 101.84496968932073, 'rmse': 10.091826875710895, 'mae': 7.866283961704802, 'mape': 10.505204124537505}, 'h30': {'mse': 108.54689450242998, 'rmse': 10.418584092976836, 'mae': 8.51897308712914, 'mape': 11.958043320760305}}"
