feature,family,total_score
coal_brent_ratio,energy,5.688057340681553
uk_power_gas_vol_ratio_20d,energy,3.1859480142593384
uk_power_vol_20d,energy,2.0505989491939545
brent_price,energy,1.9530205726623535
uk_gas_hdd18_surprise_interaction,energy,1.7611172869801521
uk_gas_vol_20d,energy,1.433139979839325
uk_gas_price,energy,1.2077272655442357
brent_vol_5d,energy,1.0255633443593979
coal_vol_5d,energy,0.9400943033397198
uk_temp_mean_c,weather,0.7793755233287811
brent_return,energy,0.671630248427391
coal_brent_ratio_z20,energy,0.6020898036658764
uk_power_vol_5d,energy,0.593230701982975
coal_price,energy,0.580235481262207
brent_vol_20d,energy,0.577320970594883
uk_hdd18_7d_ma,weather,0.4649303341284394
uk_power_gas_ratio,energy,0.36881669610738754
uk_power_gas_spread_z20,energy,0.35471700178459287
uk_power_hdd18_interaction,energy,0.3447498455643654
uk_temp_min_c,weather,0.33235960081219673
uk_gas_hdd18_interaction,energy,0.33068228513002396
uk_temp_mean_7d_ma,weather,0.26877376064658165
uk_power_gas_return_spread,energy,0.24363625794649124
coal_brent_return_spread,energy,0.2428191676735878
uk_hdd18_surprise,weather,0.24228614196181297
coal_brent_vol_ratio_20d,energy,0.24070051312446594
uk_power_price,energy,0.2078074961900711
uk_temp_max_c,weather,0.19496605172753334
coal_vol_20d,energy,0.14974123239517212
uk_hdd18,weather,0.13034312427043915
uk_power_hdd18_surprise_interaction,energy,0.120139105245471
uk_power_gas_spread,energy,0.11511812545359135
uk_gas_return,energy,0.10647661983966827
uk_power_return,energy,0.09850871935486794
coal_return,energy,0.045612046495079994
uk_power_gas_ratio_z20,energy,0.03647463023662567
uk_temp_mean_anom,weather,0.028154009953141212
uk_gas_vol_5d,energy,0.010942517197690904
