feature,family,summary_stat,score,selected_above_threshold
coal_vol_20d,energy,change_5,0.14974123239517212,True
uka_power_ratio,other,change_5,0.14759212732315063,True
uk_power_hdd18_interaction,energy,change_20,0.14558997750282288,True
uk_icap_spread_lag_20,uk_icap,last,0.14517785608768463,True
y_ma_60d,target_derived,change_5,0.14367659389972687,True
eua_low,other,change_5,0.14332665503025055,True
brent_return,energy,change_5,0.14326240122318268,True
uk_temp_max_c,weather,last,0.1419283151626587,True
uk_gas_hdd18_interaction,energy,std_20,0.1398022472858429,True
y_vol_20d,target_derived,std_20,0.13160540163516998,True
uk_power_hdd18_interaction,energy,std_20,0.12920482456684113,True
eua_range_pct,other,change_20,0.12808695435523987,True
uk_icap_dow_sin,uk_icap,std_20,0.12737269699573517,True
uk_hdd18_7d_ma,weather,change_20,0.1268862783908844,True
uk_power_gas_return_spread,energy,last,0.1259559988975525,True
uka_range,other,change_5,0.12534891068935394,True
uk_icap_primary_secondary_spread,uk_icap,change_20,0.12493355572223663,True
uka_range_pct,other,change_5,0.12439870834350586,True
uka_brent_return_spread,other,change_20,0.12371238321065903,True
uk_icap_secondary_days_since_print,uk_icap,std_20,0.12051668018102646,True
auction_price_lag_1,uk_auction,last,0.11888539791107178,True
uk_power_price,energy,change_5,0.11804609000682831,True
uk_power_gas_return_spread,energy,change_5,0.11768025904893875,True
brent_vol_5d,energy,change_20,0.11489395797252655,True
brent_vol_20d,energy,change_5,0.11439897865056992,True
uk_power_gas_ratio,energy,last,0.11266344040632248,True
uk_temp_mean_c,weather,change_5,0.11255398392677307,True
uk_icap_spread_z20,uk_icap,change_5,0.1121683418750763,True
auction_price_lag_5,uk_auction,change_5,0.1120852679014206,True
uk_gas_hdd18_interaction,energy,last,0.11054082214832306,True
uk_hdd18_surprise,weather,change_20,0.10844888538122177,True
uk_icap_primary_lag_5,uk_icap,change_20,0.10723299533128738,True
y_ma_60d,target_derived,std_20,0.10638701170682907,True
uk_icap_primary_print_day,uk_icap,change_20,0.09697696566581726,True
uk_hdd18_surprise,weather,change_5,0.095374695956707,True
is_auction_day,uk_auction,change_20,0.09287180751562119,True
eurusd,fx,change_5,0.09198763966560364,True
eua_range_pct,other,change_5,0.09143675863742828,True
uk_icap_primary_days_since_print,uk_icap,last,0.09063825011253357,True
