seendate,sent_score
2017-01-01,-0.0950737970464903
2017-01-31,0.14203089723904722
2017-02-01,0.34917122600958467
2017-02-02,0.5720333791941524
2017-02-03,0.7024100914713672
2017-02-04,0.8492466116022147
2017-02-06,0.880858134881051
2017-02-07,0.4788283846264695
2017-02-08,0.32184037964259893
2017-02-09,0.7807666826223069
2017-02-10,0.668210723960357
2017-02-13,0.34917122600958467
2017-02-14,0.7336471736542484
2017-02-15,0.880858134881051
2017-02-16,0.880858134881051
2017-02-17,0.668210723960357
2017-02-18,0.12547530889452765
2017-02-20,0.6138515493575402
2017-02-21,0.13917415281710746
2017-02-22,0.0014459169198404078
2017-02-23,0.6418367331614848
2017-02-24,0.2912770160326823
2017-02-26,-0.0476448086037956
2017-02-27,0.6138515493575402
2017-02-28,0.880858134881051
2017-03-02,0.4788283846264695
2017-03-03,0.6138515493575402
2017-03-05,0.9005167787163512
2017-03-06,0.7981679430015246
2017-03-07,0.8492466116022147
2017-03-08,0.7981679430015246
2017-03-09,0.5270137603420303
2017-03-10,0.5720333791941524
2017-03-13,0.37593997798078005
2017-03-14,-0.0476448086037956
2017-03-15,0.6138515493575402
2017-03-16,0.7608390766012707
2017-03-17,0.8153189821806861
2017-03-20,0.4788283846264695
2017-03-21,-0.613879623011921
2017-03-23,-0.7475710970592193
2017-03-24,-0.4033259469661646
2017-03-27,0.6698330853380087
2017-03-28,-0.05057460908593356
2017-03-29,-0.5270462970960899
2017-03-30,-0.0476448086037956
2017-03-31,0.32184037964259893
2017-04-01,0.44243188598206173
2017-04-02,-0.20465017309374373
2017-04-03,-0.5720636869337926
2017-04-04,0.4570505005928739
2017-04-05,0.880858134881051
2017-04-06,-0.3244907187682636
2017-04-07,-0.7981842922524798
2017-04-08,-0.5720636869337926
2017-04-09,-0.07834336207758315
2017-04-10,0.078298588599141
2017-04-11,0.40451710941033503
2017-04-12,0.8204139383917964
2017-04-13,0.4788283846264695
2017-04-14,0.6138515493575402
2017-04-15,0.668210723960357
2017-04-16,0.17209131310879106
2017-04-17,-0.1420750379985769
2017-04-18,0.27846556855217947
2017-04-19,0.7807666826223069
2017-04-20,0.7981679430015246
2017-04-21,0.7024100914713672
2017-04-22,0.3342827035376967
2017-04-24,0.14203089723904722
2017-04-25,0.34917122600958467
2017-04-26,0.5720333791941524
2017-04-27,0.5270137603420303
2017-04-28,0.5720333791941524
2017-04-29,0.7024100914713672
2017-05-01,0.7024100914713672
2017-05-02,0.5270137603420303
2017-05-03,0.7336471736542484
2017-05-04,0.13917415281710746
2017-05-05,0.40574453495295976
2017-05-07,0.5489134288121608
2017-05-08,-0.0950737970464903
2017-05-09,0.6138515493575402
2017-05-31,0.7981679430015246
2017-06-01,0.2912770160326823
2017-06-02,0.40451710941033503
2017-06-04,0.8204139383917964
2017-06-05,0.9005167787163512
2017-06-07,0.9005167787163512
2017-06-09,0.668210723960357
2017-06-10,0.17209131310879106
2017-06-12,0.6138515493575402
2017-06-14,0.7981679430015246
2017-06-15,0.8204139383917964
2017-06-19,0.5147302974684427
2017-06-20,-0.0950737970464903
2017-06-21,0.14203089723904722
2017-06-22,0.34917122600958467
2017-06-23,0.34917122600958467
2017-06-27,0.7746861308390042
2017-06-28,-0.05057460908593356
2017-06-29,-0.45475973389669205
2017-06-30,-0.613879623011921
2017-07-01,-0.8737711637449941
2017-07-03,0.05052967438966909
2017-07-04,0.7608390766012707
2017-07-05,0.7987002576387713
2017-07-06,0.7981679430015246
2017-07-07,0.6508100222362115
2017-07-10,0.27713123522000976
2017-07-11,0.6138515493575402
2017-07-12,0.880858134881051
2017-07-13,0.668210723960357
2017-07-14,0.078298588599141
2017-07-17,0.32184037964259893
2017-07-18,0.8153189821806861
2017-07-19,0.4788283846264695
2017-07-20,0.6138515493575402
2017-07-21,0.668210723960357
2017-07-23,0.12547530889452765
2017-07-24,-0.719111303867606
2017-07-25,0.09793869786374666
2017-07-26,0.668210723960357
2017-07-27,0.34917122600958467
2017-07-30,0.5044078798857025
2017-07-31,0.7807666826223069
2017-08-01,0.7981679430015246
2017-08-02,0.8204139383917964
2017-08-03,0.5147302974684427
2017-08-04,0.6426994308100935
2017-08-07,-0.23671986318615745
2017-08-08,0.14490732966776063
2017-08-10,0.7608390766012707
2017-08-14,0.6418367331614848
2017-08-15,0.8492466116022147
2017-08-16,0.880858134881051
2017-08-17,0.880858134881051
2017-08-21,0.9005167787163512
2017-08-23,0.7608390766012707
2017-08-24,0.8153189821806861
2017-08-29,0.4788283846264695
2017-08-30,0.6138515493575402
2017-08-31,0.668210723960357
2017-09-01,0.7336471736542484
2017-09-02,0.7400200174459214
2017-09-03,0.44243188598206173
2017-09-04,0.078298588599141
2017-09-05,0.27846556855217947
2017-09-06,0.44243188598206173
2017-09-07,0.5720333791941524
2017-09-08,0.6224664792756467
2017-09-09,0.6418367331614848
2017-09-10,0.2912770160326823
2017-09-11,0.6138515493575402
2017-09-12,0.880858134881051
2017-09-13,0.668210723960357
2017-09-14,0.34917122600958467
2017-09-15,0.34917122600958467
2017-09-16,0.7746861308390042
2017-09-17,-0.23671986318615745
2017-09-18,-0.31924567601982395
2017-09-19,0.44243188598206173
2017-09-20,-0.20465017309374373
2017-09-21,-0.6327111774911919
2017-09-22,0.4447908162026914
2017-09-25,0.4788283846264695
2017-09-26,0.14203089723904722
2017-09-27,0.7336471736542484
2017-09-28,0.880858134881051
2017-09-29,0.668210723960357
2017-10-02,0.7336471736542484
2017-10-03,0.7981679430015246
2017-10-04,0.5270137603420303
2017-10-05,0.5720333791941524
2017-10-06,0.5270137603420303
2017-10-07,0.12547530889452765
2017-10-09,0.14203089723904722
2017-10-10,0.7746861308390042
2017-10-11,0.880858134881051
2017-10-12,0.7981679430015246
2017-10-13,0.013919796955562638
2017-10-14,0.5291316609697713
2017-10-15,0.5489134288121608
2017-10-16,-0.48110603735526014
2017-10-17,0.4447908162026914
2017-10-18,0.880858134881051
2017-10-19,0.880858134881051
2017-10-20,0.23116757995435236
2017-10-21,-0.2628642890593357
2017-10-23,-0.0950737970464903
2017-10-24,0.40451710941033503
2017-10-25,0.5270137603420303
2017-10-26,0.12547530889452765
2017-10-28,-0.404554786858946
2017-10-29,0.4570505005928739
2017-10-30,0.4788283846264695
2017-10-31,0.14203089723904722
2017-11-01,0.46801049459954575
2017-11-02,0.6418367331614848
2017-11-03,0.7024100914713672
2017-11-04,0.2912770160326823
2017-11-05,-0.1420750379985769
2017-11-06,0.6138515493575402
2017-11-07,0.880858134881051
2017-11-08,0.23116757995435236
2017-11-09,0.4570505005928739
2017-11-10,0.7981679430015246
2017-11-11,0.6224664792756467
2017-11-12,0.44243188598206173
2017-11-13,0.7336471736542484
2017-11-14,0.880858134881051
2017-11-15,0.7981679430015246
2017-11-16,0.2912770160326823
2017-11-17,0.6138515493575402
2017-11-18,0.7981679430015246
2017-11-19,-0.5066110404008972
2017-11-20,0.05052967438966909
2017-11-21,0.4788283846264695
2017-11-22,0.6138515493575402
2017-11-23,0.880858134881051
2017-11-24,0.880858134881051
2017-11-25,0.7981679430015246
2017-11-26,0.37593997798078005
2017-11-27,0.40451710941033503
2017-11-28,0.5270137603420303
2017-11-29,0.078298588599141
2017-11-30,0.14203089723904722
2017-12-04,0.34917122600958467
2017-12-05,0.7336471736542484
2017-12-06,0.668210723960357
2017-12-07,0.5720333791941524
2017-12-08,0.6508100222362115
2017-12-11,-0.5179610992558941
2017-12-12,0.05052967438966909
2017-12-13,0.8911047755666633
2017-12-14,0.4788283846264695
2017-12-15,0.6426994308100935
2017-12-16,0.880858134881051
2017-12-17,-0.23671986318615745
2017-12-18,-0.47886310482844646
2017-12-19,0.7336471736542484
2017-12-20,0.880858134881051
2017-12-21,0.668210723960357
2017-12-22,0.7336471736542484
2017-12-27,0.880858134881051
2017-12-28,0.23116757995435236
2017-12-29,-0.07834336207758315
2017-12-30,0.7336471736542484
2017-12-31,0.4788283846264695
2018-01-01,0.32184037964259893
2018-01-02,0.44243188598206173
2018-01-03,0.078298588599141
2018-01-04,0.6138515493575402
2018-01-05,0.880858134881051
2018-01-06,0.668210723960357
2018-01-07,0.5720333791941524
2018-01-08,0.5270137603420303
2018-01-09,0.7336471736542484
2018-01-10,0.668210723960357
2018-01-11,0.5720333791941524
2018-01-13,0.37593997798078005
2018-01-14,-0.0476448086037956
2018-01-15,0.6698330853380087
2018-01-16,0.880858134881051
2018-01-17,0.880858134881051
2018-01-18,0.7608390766012707
2018-01-19,0.5823105873025434
2018-01-22,0.44243188598206173
2018-01-23,0.5044078798857025
2018-01-24,0.18698407951995055
2018-01-26,0.40451710941033503
2018-01-27,0.7024100914713672
2018-01-28,0.013919796955562638
2018-01-29,0.20460700963670825
2018-01-30,0.7024100914713672
2018-01-31,0.5270137603420303
2018-02-01,0.34917122600958467
2018-02-02,0.5720333791941524
2018-02-03,0.37593997798078005
2018-02-04,0.14203089723904722
2018-02-05,0.34917122600958467
2018-02-06,-0.20465017309374373
2018-02-07,0.4570505005928739
2018-02-08,0.7981679430015246
2018-02-09,0.8204139383917964
2018-02-10,0.9005167787163512
2018-02-11,0.9005167787163512
2018-02-12,0.4788283846264695
2018-02-13,0.40451710941033503
2018-02-14,0.8354040836519565
2018-02-15,0.7981679430015246
2018-02-16,0.3342827035376967
2018-02-19,0.32184037964259893
2018-02-20,0.44243188598206173
2018-02-21,0.12547530889452765
2018-02-25,0.14203089723904722
2018-02-26,0.7336471736542484
2018-02-27,0.880858134881051
2018-02-28,0.880858134881051
2018-03-01,0.5489134288121608
2018-03-02,0.14203089723904722
2018-03-03,-0.2939830029365552
2018-03-05,0.40574453495295976
2018-03-06,0.880858134881051
2018-03-07,0.4788283846264695
2018-03-08,0.6698330853380087
2018-03-09,0.880858134881051
2018-03-11,0.9005167787163512
2018-03-12,0.7981679430015246
2018-03-13,0.2912770160326823
2018-03-14,-0.0950737970464903
2018-03-15,0.32184037964259893
2018-03-16,-0.09652876241651624
2018-03-19,0.11172845100575439
2018-03-21,0.6418367331614848
2018-03-22,0.8204139383917964
2018-03-23,0.7981679430015246
2018-03-25,0.37593997798078005
2018-03-26,-0.0476448086037956
2018-03-27,0.14203089723904722
2018-03-28,0.7336471736542484
2018-03-29,0.880858134881051
2018-03-30,0.7981679430015246
2018-03-31,0.5270137603420303
2018-04-01,0.12547530889452765
2018-04-02,0.40451710941033503
2018-04-03,0.7024100914713672
2018-04-04,0.013919796955562638
2018-04-05,0.4570505005928739
2018-04-06,0.23116757995435236
2018-04-07,-0.07834336207758315
2018-04-08,0.34917122600958467
2018-04-09,0.7336471736542484
2018-04-10,0.4788283846264695
2018-04-11,0.6138515493575402
2018-04-12,0.880858134881051
2018-04-13,0.880858134881051
2018-04-14,0.668210723960357
2018-04-15,0.34917122600958467
2018-04-16,0.5720333791941524
2018-04-17,0.2912770160326823
2018-04-18,-0.1420750379985769
2018-04-19,0.40451710941033503
2018-04-20,0.5270137603420303
2018-04-21,0.7336471736542484
2018-04-22,0.668210723960357
2018-04-23,0.34917122600958467
2018-04-24,0.5720333791941524
2018-04-26,0.7024100914713672
2018-04-27,0.7024100914713672
2018-04-28,0.7024100914713672
2018-04-29,0.013919796955562638
2018-04-30,0.4570505005928739
2018-05-01,0.5147302974684427
2018-05-02,0.40451710941033503
2018-05-03,0.5270137603420303
2018-05-04,0.078298588599141
2018-05-05,-0.0476448086037956
2018-05-07,0.14203089723904722
2018-05-08,0.34917122600958467
2018-05-09,-0.20465017309374373
2018-05-10,0.4570505005928739
2018-05-11,0.668210723960357
2018-05-12,0.12547530889452765
2018-05-14,0.14203089723904722
2018-05-15,0.7336471736542484
2018-05-16,0.8911047755666633
2018-05-17,0.7608390766012707
2018-05-18,0.6418367331614848
2018-05-21,0.3342827035376967
2018-05-22,0.6138515493575402
2018-05-23,0.7981679430015246
2018-05-24,0.3342827035376967
2018-05-25,-0.0950737970464903
2018-05-26,0.40451710941033503
2018-05-27,0.5270137603420303
2018-05-28,0.17209131310879106
2018-05-29,-0.404554786858946
2018-05-30,-0.34921078271042894
2018-05-31,0.6426994308100935
2018-06-01,0.668210723960357
2018-06-03,0.7746861308390042
2018-06-04,0.5489134288121608
2018-06-05,0.6138515493575402
2018-06-06,0.880858134881051
2018-06-07,0.7981679430015246
2018-06-08,0.5270137603420303
2018-06-11,0.5720333791941524
2018-06-12,0.8492466116022147
2018-06-13,0.880858134881051
2018-06-14,0.880858134881051
2018-06-15,0.668210723960357
2018-06-16,0.7746861308390042
2018-06-18,0.4788283846264695
2018-06-19,-0.48110603735526014
2018-06-20,0.36515883851417685
2018-06-21,0.7981679430015246
2018-06-22,0.7024100914713672
2018-06-25,0.8204139383917964
2018-06-26,0.7981679430015246
2018-06-27,0.7024100914713672
2018-06-28,0.013919796955562638
2018-06-29,-0.07834336207758315
2018-06-30,0.34917122600958467
2018-07-01,0.34917122600958467
2018-07-02,0.34917122600958467
2018-07-03,0.7336471736542484
2018-07-04,0.7981679430015246
2018-07-05,0.8204139383917964
2018-07-06,0.668210723960357
2018-07-07,0.5720333791941524
2018-07-08,0.7024100914713672
2018-07-09,0.8204139383917964
2018-07-10,0.4788283846264695
2018-07-11,0.6138515493575402
2018-07-12,0.4788283846264695
2018-07-13,0.14203089723904722
2018-07-14,0.17209131310879106
2018-07-15,-0.0950737970464903
2018-07-16,0.14203089723904722
2018-07-17,0.34917122600958467
2018-07-18,0.5720333791941524
2018-07-19,0.8204139383917964
2018-07-20,0.668210723960357
2018-07-21,0.5044078798857025
2018-07-25,0.7807666826223069
2018-07-26,0.880858134881051
2018-07-27,0.4788283846264695
2018-07-28,-0.1420750379985769
2018-07-29,-0.404554786858946
2018-07-30,0.4570505005928739
2018-07-31,0.880858134881051
2018-08-01,0.880858134881051
2018-08-02,0.7981679430015246
2018-08-03,0.7024100914713672
2018-08-04,0.2912770160326823
2018-08-05,0.14203089723904722
2018-08-06,0.5720333791941524
2018-08-07,0.5270137603420303
2018-08-08,0.078298588599141
2018-08-09,0.40451710941033503
2018-08-11,0.8492466116022147
2018-08-13,0.9005167787163512
2018-08-14,0.880858134881051
2018-08-15,0.880858134881051
2018-08-16,0.4788283846264695
2018-08-17,0.6698330853380087
2018-08-20,-0.05057460908593356
2018-08-21,0.26555425359456436
2018-08-22,0.880858134881051
2018-08-23,0.880858134881051
2018-08-24,0.880858134881051
2018-08-26,0.9005167787163512
2018-08-27,0.7608390766012707
2018-08-28,0.44243188598206173
2018-08-29,0.17209131310879106
2018-08-30,-0.1420750379985769
2018-08-31,0.32184037964259893
2018-09-03,0.7807666826223069
2018-09-04,0.4788283846264695
2018-09-05,0.6426994308100935
2018-09-06,0.9005167787163512
2018-09-07,0.880858134881051
2018-09-10,0.5489134288121608
2018-09-11,0.14203089723904722
2018-09-12,0.7746861308390042
2018-09-13,0.7608390766012707
2018-09-14,-0.18983843227419983
2018-09-17,-0.4424681167605898
2018-09-18,-0.1420750379985769
2018-09-19,-0.48110603735526014
2018-09-20,0.4447908162026914
2018-09-21,0.4788283846264695
2018-09-23,0.40451710941033503
