model,horizon,policy,selected_param,val_sharpe,val_total_return,val_n_trades,test_sharpe,test_total_return,test_annualized_return,test_max_drawdown,test_n_trades,test_avg_abs_weight,test_directional_accuracy_nonzero
raw_tsm,20,sign_threshold,0.026639269459729054,0.29419398355496285,0.006584392962752705,20,0.07072208342489168,0.00015615995150475293,0.00035778431201549665,0.0020692146072859297,2,0.019417475728155338,1.0
raw_tsm,20,linear_size,0.03475956797103099,-0.42120124979707385,-0.019633260077828063,80,1.8500597124948148,0.0680809067653223,0.14446793046488815,0.018648649328565914,103,0.4373586507751552,0.9029126213592233
raw_tsm,20,tanh_size,0.03475956797103099,-0.5151036473644549,-0.019279891696577622,80,1.8714539445690939,0.06239621901086667,0.1320231332892161,0.01682924073445402,103,0.399235893024462,0.9029126213592233
raw_tsm,30,sign_threshold,0.004218848931766062,-0.5055170891492315,-0.04721508518614448,72,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,101,1.0,0.970873786407767
raw_tsm,30,linear_size,0.004218848931766062,-0.38022632394930667,-0.04000435401864011,80,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,101,1.0,0.970873786407767
raw_tsm,30,tanh_size,0.004218848931766062,-0.40328540234032223,-0.041275700332896625,80,2.1342962649205846,0.1746486591036278,0.36294862847411236,0.034800052417954364,101,0.9991252884401634,0.970873786407767
baseline_heuristic,20,sign_threshold,0.033184642115685295,2.1828099185134815,0.028634900270362973,8,,,,,0,0.0,
baseline_heuristic,20,linear_size,0.033184642115685295,0.21016451563157496,0.0060816940728043445,80,1.9313596285475558,0.07222733723509167,0.15358914278897462,0.01866556635859984,103,0.45087500638438255,0.9029126213592233
baseline_heuristic,20,tanh_size,0.033184642115685295,0.17797768228026517,0.004331338579205646,80,1.9357688930461467,0.06510424487051836,0.13794279872810367,0.016695681957961672,103,0.40811120145000473,0.9029126213592233
baseline_heuristic,20,uplift_gate,0.007919027928987965,0.4714279314602908,0.017717243849159292,40,1.052690967244057,0.0049992044514186595,0.044285727370965366,0.007668173864208261,5,0.04854368932038835,1.0
baseline_heuristic,20,uplift_linear_size,0.008256273741094323,0.2516979294156122,0.008836914498460802,53,1.5457131601623628,0.025944317140908613,0.11989901307827533,0.01739420495285504,30,0.17923132209074397,0.9
baseline_heuristic,30,sign_threshold,0.034052905387644695,0.10508460781164158,0.0009461406385606885,8,1.4917144591830496,0.0024581738861892966,0.016862202079157562,0.0023287032024065235,2,0.019417475728155338,1.0
baseline_heuristic,30,linear_size,0.002934394036401833,-0.14964266766640283,-0.019228212151950475,80,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,101,1.0,0.970873786407767
baseline_heuristic,30,tanh_size,0.002934394036401833,-0.1599331826152943,-0.01943713957974269,80,2.1341380962662204,0.17477748381649616,0.36323618413666314,0.03483295137638254,101,0.9999102855648005,0.970873786407767
baseline_heuristic,30,uplift_gate,0.007133208296129956,-0.3225466582216333,-0.013687053938373106,32,1.5581679732296208,0.01049428673599917,0.04992438968724233,0.009293481092917277,8,0.07766990291262135,0.875
baseline_heuristic,30,uplift_linear_size,0.007133208296129956,-0.6069564342374808,-0.03236963981105234,60,1.9636142610493568,0.030597220627159416,0.12003126046075652,0.016768430788930977,30,0.18078166964618633,0.9333333333333333
learned_gbdt,20,sign_threshold,0.03138126489896559,1.6666826723430512,0.018838200572462105,8,,,,,0,0.0,
learned_gbdt,20,linear_size,0.03138126489896559,0.11156727945908342,0.00239154770192318,80,2.0063838238495078,0.09240055052370111,0.1984946755656145,0.020305939634460257,103,0.5651490207045643,0.9029126213592233
learned_gbdt,20,tanh_size,0.03138126489896559,0.030501560401603588,-0.0002431862702196863,80,1.9947095167986482,0.08010103266481616,0.17101153054571583,0.01770443694145185,103,0.4947924569752802,0.9029126213592233
learned_gbdt,20,uplift_gate,0.005071264891468585,-0.4785912741512483,-0.020280662357054613,32,1.860993990996155,0.06852681631646584,0.15068743957069386,0.021907147054273546,41,0.39805825242718446,0.975609756097561
learned_gbdt,20,uplift_linear_size,0.009831015528622755,-0.6938767879037953,-0.02866929239868443,41,1.9942287568853603,0.07274828287247592,0.1547377267674126,0.016073227270431478,92,0.4403606140176029,0.9239130434782609
learned_gbdt,30,sign_threshold,0.006630565144274292,-0.10342982333784004,-0.012562593852038506,60,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,101,1.0,0.970873786407767
learned_gbdt,30,linear_size,0.009594555092491587,-0.2283668414649491,-0.02232623871575956,80,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,101,1.0,0.970873786407767
learned_gbdt,30,tanh_size,0.009594555092491587,-0.27416378301624944,-0.023674809535290775,80,2.13110173784602,0.17085274899355163,0.35448867498240544,0.03423178761730139,101,0.9796854342766802,0.970873786407767
learned_gbdt,30,uplift_gate,0.009861981732303265,-1.3811090107898967,-0.049327942673903724,20,1.6770416179787107,0.008410061178414363,0.042249989233695384,0.006975441475802646,6,0.05825242718446602,1.0
learned_gbdt,30,uplift_linear_size,0.0,-1.4063088449028684,-0.07219431670924059,47,2.1708571276066664,0.16065790462737728,0.3318926200745407,0.03479673641488401,91,0.9029126213592233,0.978494623655914
