model,horizon,policy,selected_param,val_sharpe,val_total_return,val_n_trades,test_sharpe,test_total_return,test_annualized_return,test_max_drawdown,test_n_trades,test_avg_abs_weight,test_directional_accuracy_nonzero
baseline_heuristic,20,tanh_size,0.033184642115685295,0.17797768228026517,0.004331338579205646,80,1.9357688930461467,0.06510424487051836,0.13794279872810367,0.016695681957961672,103,0.40811120145000473,0.9029126213592233
baseline_heuristic,30,linear_size,0.002934394036401833,-0.14964266766640283,-0.019228212151950475,80,2.1341433437818154,0.17479467696985562,0.3632745639809516,0.03483505028723188,101,1.0,0.970873786407767
learned_gbdt,20,linear_size,0.03138126489896559,0.11156727945908342,0.00239154770192318,80,2.0063838238495078,0.09240055052370111,0.1984946755656145,0.020305939634460257,103,0.5651490207045643,0.9029126213592233
learned_gbdt,30,uplift_linear_size,0.0,-1.4063088449028684,-0.07219431670924059,47,2.1708571276066664,0.16065790462737728,0.3318926200745407,0.03479673641488401,91,0.9029126213592233,0.978494623655914
raw_tsm,20,tanh_size,0.03475956797103099,-0.5151036473644549,-0.019279891696577622,80,1.8714539445690939,0.06239621901086667,0.1320231332892161,0.01682924073445402,103,0.399235893024462,0.9029126213592233
raw_tsm,30,tanh_size,0.004218848931766062,-0.40328540234032223,-0.041275700332896625,80,2.1342962649205846,0.1746486591036278,0.36294862847411236,0.034800052417954364,101,0.9991252884401634,0.970873786407767
