horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,naive_persistence,full,101
5,0.09900990099009901,0.0,0.0,1.0,44,47,10,naive_persistence,full,101
20,0.1188118811881188,0.0,0.0,1.0,53,36,12,naive_persistence,full,101
30,0.07920792079207921,0.0,0.0,1.0,56,37,8,naive_persistence,full,101
1,0.3069306930693069,0.3939393939393939,0.36585365853658536,0.1111111111111111,33,41,27,seasonal_naive,full,101
5,0.09900990099009901,0.0,0.0,1.0,44,47,10,seasonal_naive,full,101
20,0.1188118811881188,0.0,0.0,1.0,53,36,12,seasonal_naive,full,101
30,0.07920792079207921,0.0,0.0,1.0,56,37,8,seasonal_naive,full,101
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,linear_ridge,full,101
5,0.1782178217821782,0.18181818181818182,0.06382978723404255,0.7,44,47,10,linear_ridge,full,101
20,0.40594059405940597,0.5849056603773585,0.19444444444444445,0.25,53,36,12,linear_ridge,full,101
30,0.43564356435643564,0.44642857142857145,0.4594594594594595,0.25,56,37,8,linear_ridge,full,101
1,0.40594059405940597,0.0,1.0,0.0,33,41,27,linear_lasso,full,101
5,0.46534653465346537,0.0,1.0,0.0,44,47,10,linear_lasso,full,101
20,0.27722772277227725,0.03773584905660377,0.6944444444444444,0.08333333333333333,53,36,12,linear_lasso,full,101
30,0.36633663366336633,0.14285714285714285,0.7837837837837838,0.0,56,37,8,linear_lasso,full,101
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,tsm,full,101
5,0.24752475247524752,0.45454545454545453,0.0425531914893617,0.3,44,47,10,tsm,full,101
20,0.46534653465346537,0.8113207547169812,0.027777777777777776,0.25,53,36,12,tsm,full,101
30,0.5346534653465347,0.9285714285714286,0.02702702702702703,0.125,56,37,8,tsm,full,101
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,TSM+LLM-COT-RF-HDELTA,llm_subset,101
5,0.25742574257425743,0.4772727272727273,0.0425531914893617,0.3,44,47,10,TSM+LLM-COT-RF-HDELTA,llm_subset,101
20,0.44554455445544555,0.8113207547169812,0.0,0.16666666666666666,53,36,12,TSM+LLM-COT-RF-HDELTA,llm_subset,101
30,0.5247524752475248,0.9285714285714286,0.0,0.125,56,37,8,TSM+LLM-COT-RF-HDELTA,llm_subset,101
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,naive_persistence_llm_subset,llm_subset,101
5,0.09900990099009901,0.0,0.0,1.0,44,47,10,naive_persistence_llm_subset,llm_subset,101
20,0.1188118811881188,0.0,0.0,1.0,53,36,12,naive_persistence_llm_subset,llm_subset,101
30,0.07920792079207921,0.0,0.0,1.0,56,37,8,naive_persistence_llm_subset,llm_subset,101
1,0.3069306930693069,0.3939393939393939,0.36585365853658536,0.1111111111111111,33,41,27,seasonal_naive_llm_subset,llm_subset,101
5,0.09900990099009901,0.0,0.0,1.0,44,47,10,seasonal_naive_llm_subset,llm_subset,101
20,0.1188118811881188,0.0,0.0,1.0,53,36,12,seasonal_naive_llm_subset,llm_subset,101
30,0.07920792079207921,0.0,0.0,1.0,56,37,8,seasonal_naive_llm_subset,llm_subset,101
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,linear_ridge_llm_subset,llm_subset,101
5,0.1782178217821782,0.18181818181818182,0.06382978723404255,0.7,44,47,10,linear_ridge_llm_subset,llm_subset,101
20,0.40594059405940597,0.5849056603773585,0.19444444444444445,0.25,53,36,12,linear_ridge_llm_subset,llm_subset,101
30,0.43564356435643564,0.44642857142857145,0.4594594594594595,0.25,56,37,8,linear_ridge_llm_subset,llm_subset,101
1,0.40594059405940597,0.0,1.0,0.0,33,41,27,linear_lasso_llm_subset,llm_subset,101
5,0.46534653465346537,0.0,1.0,0.0,44,47,10,linear_lasso_llm_subset,llm_subset,101
20,0.27722772277227725,0.03773584905660377,0.6944444444444444,0.08333333333333333,53,36,12,linear_lasso_llm_subset,llm_subset,101
30,0.36633663366336633,0.14285714285714285,0.7837837837837838,0.0,56,37,8,linear_lasso_llm_subset,llm_subset,101
1,0.26732673267326734,0.0,0.0,1.0,33,41,27,tsm_llm_subset,llm_subset,101
5,0.24752475247524752,0.45454545454545453,0.0425531914893617,0.3,44,47,10,tsm_llm_subset,llm_subset,101
20,0.46534653465346537,0.8113207547169812,0.027777777777777776,0.25,53,36,12,tsm_llm_subset,llm_subset,101
30,0.5346534653465347,0.9285714285714286,0.02702702702702703,0.125,56,37,8,tsm_llm_subset,llm_subset,101
