candidate,endpoint,base_model,phase,run_dir,result_name,base_mse_path,llm_mse_path,path_gain_abs,path_gain_pct,reflect_calls,apply_calls,approx_llm_applied_samples,gate_selection,objective,expectation,base_h1_mse,llm_h1_mse,gain_h1_abs,gain_h1_pct,base_h5_mse,llm_h5_mse,gain_h5_abs,gain_h5_pct,base_h20_mse,llm_h20_mse,gain_h20_abs,gain_h20_pct,base_h30_mse,llm_h30_mse,gain_h30_abs,gain_h30_pct
4b_tsm_combined,4b,tsm,combined_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260316_000634_357cc4,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.189792479841018,0.012643967302536474,0.3008723025693994,30,30,30,,Combine the successful online-memory policy improvements discovered for tsm.,Expected to match or slightly beat the best single-policy tsm run if the policy gains are additive.,0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.464757683940971,-0.06531811065300719,-2.722223613387415,4.112015247344971,4.116257252050456,-0.004242004705485414,-0.10316121050923568,9.13173484802246,8.988649384590381,0.14308546343207773,1.5669033958324345
4b_linear_ridge_combined,4b,linear_ridge,combined_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260316_001033_68feeb,linear_ridge+LLM-COT-RF-HDELTA,7.40046579682379,7.538552095950386,-0.13808629912659587,-1.8659136183814433,33,33,33,,Combine the successful online-memory policy improvements discovered for linear_ridge.,Expected to match or slightly beat the best single-policy linear_ridge run if the policy gains are additive.,0.7847441836656975,0.7847441836656975,0.0,0.0,2.962261145159679,2.9316229999577668,0.030638145201912437,1.0342823843189863,6.125463067731386,6.316388058791495,-0.1909249910601094,-3.1169070639882253,25.023838122365703,25.620912477052585,-0.5970743546868817,-2.386022287097642
4b_linear_lasso_combined,4b,linear_lasso,combined_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260316_001451_95b1d0,linear_lasso+LLM-COT-RF-HDELTA,17.142476138367858,17.80377977197016,-0.6613036336023015,-3.8576902675231866,34,34,34,,Combine the successful online-memory policy improvements discovered for linear_lasso.,Expected to match or slightly beat the best single-policy linear_lasso run if the policy gains are additive.,4.561226986571852,4.561226986571852,0.0,0.0,7.831443177753703,8.192215252405441,-0.3607720746517389,-4.606712536414257,19.960867372348236,20.771155277793024,-0.8102879054447882,-4.059382241912388,35.29725922653915,36.625730877091584,-1.3284716505524372,-3.763668000470676
4b_naive_persistence_combined,4b,naive_persistence,combined_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260316_001919_e07d94,naive_persistence+LLM-COT-RF-HDELTA,7.736114501953125,7.909735371704911,-0.1736208697517858,-2.244290330862502,34,34,34,,Combine the successful online-memory policy improvements discovered for naive_persistence.,Expected to match or slightly beat the best single-policy naive_persistence run if the policy gains are additive.,0.7728632092475891,0.7728632471283436,-3.788075453314832e-08,-4.901353057034069e-06,2.6805949211120605,2.70229175000667,-0.021696828894609332,-0.8094034918788952,8.727397918701172,8.968781239245192,-0.24138332054402056,-2.7658108727548854,19.50160217285156,20.024440772785443,-0.522838599933884,-2.6810033109060885
4b_seasonal_naive_combined,4b,seasonal_naive,combined_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260316_002358_feb9dc,seasonal_naive+LLM-COT-RF-HDELTA,8.71242891903364,8.913792710992485,-0.2013637919588458,-2.311224502720885,34,34,34,,Combine the successful online-memory policy improvements discovered for seasonal_naive.,Expected to match or slightly beat the best single-policy seasonal_naive run if the policy gains are additive.,2.781761996982646,2.781761996982646,0.0,0.0,2.6805948626868275,2.6805948626868275,0.0,0.0,8.727398027925304,9.037678471215056,-0.31028044328975213,-3.555245702063077,19.501601840606757,20.09296712539584,-0.5913652847890845,-3.032393388104806
