candidate,endpoint,base_model,phase,run_dir,result_name,base_mse_path,llm_mse_path,path_gain_abs,path_gain_pct,reflect_calls,apply_calls,approx_llm_applied_samples,gate_selection,objective,expectation,base_h1_mse,llm_h1_mse,gain_h1_abs,gain_h1_pct,base_h5_mse,llm_h5_mse,gain_h5_abs,gain_h5_pct,base_h20_mse,llm_h20_mse,gain_h20_abs,gain_h20_pct,base_h30_mse,llm_h30_mse,gain_h30_abs,gain_h30_pct
4b_tsm_baseline,4b,tsm,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_210607_b589fe,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.243783133933867,-0.041346686790312503,-0.9838741718132664,35,35,35,,Reproduce the current live-online baseline under the refactored runner.,Expected to reproduce the current 4B online-memory baseline for tsm.,0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.4865346981995935,-0.08709512491162963,-3.6298111392854437,4.112015247344971,4.128375233006993,-0.01635998566202268,-0.397858098230203,9.13173484802246,9.212995132734395,-0.08126028471193614,-0.8898668879937269
4b_tsm_learned_gate,4b,tsm,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_211041_bf8968,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.243783133933867,-0.041346686790312503,-0.9838741718132664,115,115,115,"{""base_model"": ""tsm"", ""max_samples"": 80, ""method"": ""TSM+LLM-COT-RF-HDELTA"", ""method_template"": ""TSM+LLM-COT-RF-HDELTA"", ""metric"": ""mse_path"", ""n_val"": 80, ""scope"": ""recent_tail"", ""selected_candidate"": ""p1_ps0.008_ns0.000_neg0.030_h200.10"", ""selected_gate_cfg"": {""max_negative_signal"": 0.03, ""min_abs_base_h20_pct"": 0.1, ""min_net_signal"": 0.0, ""min_positive_examples"": 1, ""min_positive_signal"": 0.008}}",Convert offline helpfulness into validation-fit threshold rules for live gating.,Expected small lift if tsm benefits from validation-fit online gating; likely limited on strong bases.,0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.4865346981995935,-0.08709512491162963,-3.6298111392854437,4.112015247344971,4.128375233006993,-0.01635998566202268,-0.397858098230203,9.13173484802246,9.212995132734395,-0.08126028471193614,-0.8898668879937269
4b_tsm_horizon_specific,4b,tsm,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_212540_933fd2,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.210744385328995,-0.008307938185440733,-0.19769336883339989,26,26,26,,Admit h20 memories earlier than h30 to make online adaptation faster and more target-aligned.,Expected to help if tsm needs faster h20 adaptation without waiting for full h30 realization.,0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.469379995322502,-0.06994042203453832,-2.914864904836866,4.112015247344971,4.139878353289632,-0.027863105944661015,-0.6776022039959981,9.13173484802246,9.045819228796368,0.08591561922609081,0.9408466261446086
4b_tsm_regime_specific,4b,tsm,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_212905_6c6b77,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.174479969823514,0.027956477320040918,0.6652444997483129,36,36,36,,Only retrieve online memories from matching regime buckets.,Expected to help if tsm suffers from contradictory memories across regimes.,0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.47165195236778,-0.07221237907981592,-3.0095518921888473,4.112015247344971,4.02789744995731,0.08411779738766079,2.0456586935560033,9.13173484802246,9.125792632294802,0.005942215727657185,0.06507214485037324
4b_tsm_high_utility_admission,4b,tsm,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_213346_cbf771,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.2309776618263175,-0.028541214682762828,-0.6791587461640883,35,35,35,,Promote only cases that materially help long horizons while avoiding h5 damage.,Expected to help if tsm benefits from only promoting materially positive long-horizon memories.,0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.4816689852340574,-0.08222941194609357,-3.427025746408533,4.112015247344971,4.111474130129866,0.0005411172151044141,0.013159416552596698,9.13173484802246,9.206885334012927,-0.07515048599046814,-0.8229595716606084
4b_tsm_prototype_compression,4b,tsm,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_213818_0a449d,TSM+LLM-COT-RF-HDELTA,4.202436447143555,4.243783133933867,-0.041346686790312503,-0.9838741718132664,35,35,35,,"Compress raw memory banks into a smaller, more diverse case set.","Expected to help if tsm benefits from smaller, less cluttered online memory prompts.",0.7825747132301331,0.7825746289477006,8.428243247760037e-08,1.0769889577663275e-05,2.399439573287964,2.4865346981995935,-0.08709512491162963,-3.6298111392854437,4.112015247344971,4.128375233006993,-0.01635998566202268,-0.397858098230203,9.13173484802246,9.212995132734395,-0.08126028471193614,-0.8898668879937269
4b_linear_ridge_baseline,4b,linear_ridge,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_214250_4a00bb,linear_ridge+LLM-COT-RF-HDELTA,7.40046579682379,7.538552095950386,-0.13808629912659587,-1.8659136183814433,33,33,33,,Reproduce the current live-online baseline under the refactored runner.,Expected to reproduce the current 4B online-memory baseline for linear_ridge.,0.7847441836656975,0.7847441836656975,0.0,0.0,2.962261145159679,2.9316229999577668,0.030638145201912437,1.0342823843189863,6.125463067731386,6.316388058791495,-0.1909249910601094,-3.1169070639882253,25.023838122365703,25.620912477052585,-0.5970743546868817,-2.386022287097642
4b_linear_ridge_learned_gate,4b,linear_ridge,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_214704_328d19,linear_ridge+LLM-COT-RF-HDELTA,7.40046579682379,7.538552095950386,-0.13808629912659587,-1.8659136183814433,113,113,113,"{""base_model"": ""linear_ridge"", ""max_samples"": 80, ""method"": ""linear_ridge+LLM-COT-RF-HDELTA"", ""method_template"": ""TSM+LLM-COT-RF-HDELTA"", ""metric"": ""mse_path"", ""n_val"": 80, ""scope"": ""recent_tail"", ""selected_candidate"": ""p1_ps0.008_ns0.000_neg0.030_h200.10"", ""selected_gate_cfg"": {""max_negative_signal"": 0.03, ""min_abs_base_h20_pct"": 0.1, ""min_net_signal"": 0.0, ""min_positive_examples"": 1, ""min_positive_signal"": 0.008}}",Convert offline helpfulness into validation-fit threshold rules for live gating.,Expected small lift if linear_ridge benefits from validation-fit online gating; likely limited on strong bases.,0.7847441836656975,0.7847441836656975,0.0,0.0,2.962261145159679,2.9316229999577668,0.030638145201912437,1.0342823843189863,6.125463067731386,6.316388058791495,-0.1909249910601094,-3.1169070639882253,25.023838122365703,25.620912477052585,-0.5970743546868817,-2.386022287097642
4b_linear_ridge_horizon_specific,4b,linear_ridge,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_220146_015336,linear_ridge+LLM-COT-RF-HDELTA,7.40046579682379,7.41417432766975,-0.013708530845960354,-0.18523875688803162,23,23,23,,Admit h20 memories earlier than h30 to make online adaptation faster and more target-aligned.,Expected to help if linear_ridge needs faster h20 adaptation without waiting for full h30 realization.,0.7847441836656975,0.7847441836656975,0.0,0.0,2.962261145159679,2.926463622766358,0.035797522393321124,1.2084526191019354,6.125463067731386,6.170534365832163,-0.045071298100777035,-0.7358022993920287,25.023838122365703,25.17139791620716,-0.1475597938414559,-0.5896769037583028
4b_linear_ridge_regime_specific,4b,linear_ridge,single_policy,/Users/davidwilkinson/Desktop/ETS 2/runs/20260315_220445_20d645,linear_ridge+LLM-COT-RF-HDELTA,7.40046579682379,7.538552095950386,-0.13808629912659587,-1.8659136183814433,33,33,33,,Only retrieve online memories from matching regime buckets.,Expected to help if linear_ridge suffers from contradictory memories across regimes.,0.7847441836656975,0.7847441836656975,0.0,0.0,2.962261145159679,2.9316229999577668,0.030638145201912437,1.0342823843189863,6.125463067731386,6.316388058791495,-0.1909249910601094,-3.1169070639882253,25.023838122365703,25.620912477052585,-0.5970743546868817,-2.386022287097642
