variant,n_runs,n_features,mse_path_mean,mse_path_std,h1_mse_mean,h5_mse_mean,h20_mse_mean,h30_mse_mean,contains_icap,contains_coal,delta_mse_path_vs_full,pct_change_vs_full
full,1,11.0,2623.35595703125,,2573.15234375,2590.867919921875,2643.069091796875,2703.172119140625,1,0,0.0,0.0
no_auctions,1,11.0,2623.35595703125,,2573.15234375,2590.867919921875,2643.069091796875,2703.172119140625,1,0,0.0,0.0
no_brent,1,11.0,2623.35595703125,,2573.15234375,2590.867919921875,2643.069091796875,2703.172119140625,1,0,0.0,0.0
no_coal,1,11.0,2623.35595703125,,2573.15234375,2590.867919921875,2643.069091796875,2703.172119140625,1,0,0.0,0.0
no_icap,1,11.0,2622.375244140625,,2572.4189453125,2589.3876953125,2642.028076171875,2704.90185546875,0,0,-0.980712890625,-0.03738390468881831
no_icap_no_coal,1,11.0,2622.375244140625,,2572.4189453125,2589.3876953125,2642.028076171875,2704.90185546875,0,0,-0.980712890625,-0.03738390468881831
no_indices,1,11.0,2623.35595703125,,2573.15234375,2590.867919921875,2643.069091796875,2703.172119140625,1,0,0.0,0.0
no_vstoxx,1,11.0,2623.35595703125,,2573.15234375,2590.867919921875,2643.069091796875,2703.172119140625,1,0,0.0,0.0
