model,subset,mse_path,rmse_path,mae_path,mape_path,h1_mse,h5_mse,h20_mse,h30_mse
linear_ridge,val,18.697002865714033,4.324003106580062,3.420321387854236,8.77187946570904,1.9037631859159854,7.049009943189719,24.835465406368936,27.605957115057414
tsm,val,16.63988494873047,4.079201698303223,3.053068161010742,7.408834248781204,1.7660144567489624,7.033504009246826,21.07068634033203,25.228330612182617
linear_ridge,test,22.419955242336467,4.734971514416583,2.7844545549816555,5.035705781848396,1.0615366565260855,4.59362996417369,30.154391664669575,56.90939283760084
tsm,test,29.593332290649414,5.439975261688232,3.506887197494507,6.2772236764431,1.1399154663085938,5.518514633178711,39.96670913696289,72.67554473876953
ridge_tsm_blend_uniform,val,16.131992528854987,4.0164651783446335,3.083575952122783,7.596160922238342,1.7796196241528768,6.89594310230549,20.45598988307023,23.87960997836944
ridge_tsm_blend_uniform,test,27.1382089363161,5.209434608123621,3.2429297743020236,5.815533029973098,1.1064129081067462,5.204408743372704,36.362144925949615,67.81470026921026
ridge_tsm_blend_ramp,val,16.321888684838488,4.040035728163613,3.128912412353426,7.74851442944097,1.9037631859159854,6.95717645531109,20.494169577123557,25.228332953395054
ridge_tsm_blend_ramp,test,27.055177849182037,5.201459203837135,3.2011659751297716,5.742357599394688,1.0615366565260855,4.668637600740584,35.19570976486643,72.6755476915418
