schedule,selected_w,val_mse_path,test_mse_path,ridge_test_mse_path,tsm_test_mse_path
ramp,1.0,16.321888684838488,27.055177849182034,22.419955242336467,29.593332290649414
uniform,0.75,16.131992528854983,27.1382089363161,22.419955242336467,29.593332290649414
