epoch,train_loss,val_loss
1,1.1018828451633453,0.6558712497353554
2,1.0941545565923054,0.6516779586672783
3,1.0873942176500957,0.6477434858679771
4,1.0803383390108745,0.6440691649913788
5,1.072690745194753,0.6405685693025589
6,1.0668019503355026,0.637299619615078
7,1.0635174711545308,0.6343021094799042
8,1.0600275248289108,0.631475955247879
9,1.0520438700914383,0.628816656768322
10,1.047757516304652,0.6262814775109291
11,1.0436258564392726,0.6239529177546501
12,1.0345878650744755,0.6217541769146919
13,1.0350092649459839,0.6196774393320084
14,1.031718557079633,0.6177437976002693
15,1.0259027779102325,0.6159339770674706
16,1.0200908680756886,0.6142473593354225
17,1.0202695628007252,0.6125761792063713
18,1.016322101155917,0.6109886541962624
19,1.0161802818377812,0.6095675900578499
20,1.0085910906394322,0.6082357987761497
21,1.0066183060407639,0.606986828148365
22,1.002153014143308,0.6057441905140877
23,0.9989125976959864,0.6045946180820465
24,0.9968089958031973,0.6035405248403549
25,0.9961074342330297,0.602509081363678
26,0.9916209280490875,0.6015882566571236
27,0.9885661651690801,0.6006478443741798
28,0.9912163317203522,0.5998160541057587
29,0.9909144441286722,0.5990096852183342
30,0.9844923665126165,0.5982087850570679
31,0.9865367164214452,0.5974518805742264
32,0.983529806137085,0.5968016237020493
33,0.9804467211167017,0.596146322786808
34,0.9779897779226303,0.595531202852726
35,0.9752446264028549,0.5949656739830971
36,0.9756416082382202,0.594377689063549
37,0.9757558802763621,0.5938381254673004
38,0.9715410570303599,0.5933841988444328
39,0.9726092467705408,0.5928509831428528
40,0.9736256947120031,0.5924112051725388
