quantile,horizon,pinball_loss
0.1,1,0.22590607404708862
0.1,5,0.3395460844039917
0.1,20,0.40925219655036926
0.1,30,0.46952229738235474
0.5,1,0.48548322916030884
0.5,5,0.6799900531768799
0.5,20,0.8098576664924622
0.5,30,0.934533417224884
0.9,1,0.23876075446605682
0.9,5,0.3384915292263031
0.9,20,0.42883387207984924
0.9,30,0.5099596381187439
