window,train_end,val_end,test_end,run_dir,tsm_path_mse,tsm_h20,tsm_h30,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct
W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260322_002454_442bca,23.25793838500977,28.18958282470703,36.62714385986328,23.3702115956254,28.190863992640644,37.10541723922152,-0.004827307079289245,-4.544827575414523e-05,-0.0130578944726929
W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260322_015838_cfbada,18.59832763671875,25.401012420654297,35.6187744140625,18.44854516847703,25.088826810747825,35.38096142326844,0.008053544983582572,0.01229028216421102,0.006676619134322936
W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260322_032743_e80c25,68.51536560058594,89.81409454345703,109.4663314819336,66.4719734161392,87.16507567817429,105.80403492448988,0.029823852891025848,0.02949446719635973,0.0334559175215271
W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260322_045329_dc9626,101.73527526855467,124.65435028076172,216.0431365966797,99.55576586449834,122.06772750184298,212.40229293537183,0.021423340117800782,0.020750361083209934,0.016852392159556362
