date,close_eur,sent_score,sent_score_3d_ma,log_ret_1d,hist_vol_20d,ret_5d,ret_20d,trend_regime_20d,trend_threshold_20d,volatility_regime,sentiment_alignment_5d,trend_vol_regime
2024-07-01,68.33,0.5,0.2777777777777776,0.014297538858616399,0.015187891301611401,0.011397276494967468,-0.08441645450891055,down,0.2634795383003492,low_vol,neutral,down__low_vol
2024-07-02,70.93,0.0,0.2777777777777776,0.03734456642130812,0.016802336728921088,0.046165191740413114,-0.02273353540920353,down,0.2911403893782844,high_vol,aligned,down__high_vol
2024-07-03,70.91,0.0,0.16666666666666652,-0.0002820078980905194,0.01672464891547557,0.05473746839208671,-0.015138888888888924,down,0.2895663901603107,high_vol,aligned,down__high_vol
2024-07-04,70.18,0.6666666666666666,0.22222222222222207,-0.010348097160835401,0.016815153617000995,0.05549706722815473,-0.018873200055920525,down,0.2908496102190599,high_vol,aligned,down__high_vol
2024-07-05,70.35,0.0,0.22222222222222207,0.0024194134053283634,0.016831177542749924,0.04438836104513055,-0.01498179781573794,down,0.2909016570601143,high_vol,aligned,down__high_vol
2024-07-08,69.04,0.0,0.22222222222222207,-0.018796736785224866,0.017259813302552475,0.010390750768330292,-0.026371456776195012,down,0.2979065350787154,high_vol,neutral,down__high_vol
2024-07-09,68.52,0.0,0.0,-0.007560373319253522,0.01726862571850815,-0.03397716058085454,-0.026842778014486535,down,0.29765066719706246,high_vol,neutral,down__high_vol
2024-07-10,67.96,0.0,0.0,-0.008206376652188041,0.017336487118400537,-0.041602030743195684,-0.03328591749644383,down,0.29831326796809426,high_vol,neutral,down__high_vol
2024-07-11,68.52,0.0,0.0,0.008206376652188041,0.017340395061189954,-0.023653462524936053,-0.033159305771130354,down,0.2978711388117348,high_vol,neutral,down__high_vol
2024-07-12,69.35,0.0,0.0,0.012040473304921306,0.015862122077102674,-0.014214641080312673,0.011965562527360252,up,0.2726401370264967,low_vol,neutral,up__low_vol
2024-07-15,67.58,0.0,0.0,-0.025854065474696597,0.016894530713478937,-0.021147161066048747,-0.0085093896713615,down,0.2902628203719388,high_vol,neutral,down__high_vol
2024-07-16,67.94,0.3333333333333333,0.11111111111111095,0.005312881446293716,0.016924737885366165,-0.008464681844716826,-0.006434630008774422,down,0.29068871995786727,high_vol,neutral,down__high_vol
2024-07-17,66.42,0.0,0.11111111111111095,-0.022626746783837248,0.015571077652075657,-0.02266038846380214,-0.061068702290076216,down,0.2665982596353028,low_vol,neutral,down__low_vol
2024-07-18,66.11,0.0,0.11111111111111095,-0.00467819460311425,0.014925451870282503,-0.03517221249270286,-0.04451510333863273,down,0.2549696286185481,low_vol,divergent,down__low_vol
2024-07-19,66.0,0.0,0.0,-0.0016652793190612414,0.014539005092676584,-0.048305695746214794,-0.030124908155767738,down,0.2479954446170539,low_vol,neutral,down__low_vol
2024-07-22,64.79,0.0,0.0,-0.018503471564558893,0.01498345222627863,-0.041284403669724634,-0.04100059206631135,down,0.255057688453353,low_vol,neutral,down__low_vol
2024-07-23,65.79,0.0,0.0,0.015316580636040023,0.015440796023345787,-0.031645569620253,-0.0296460176991149,down,0.26245493040681733,low_vol,neutral,down__low_vol
2024-07-24,68.9,0.0,0.0,0.04618832692170649,0.018648000355563677,0.0373381511592894,0.02484010114532209,up,0.31735866305111304,high_vol,neutral,up__high_vol
2024-07-25,67.08,0.0,0.0,-0.026770241064604683,0.019503785307740388,0.014672515504462247,0.008873514814257799,up,0.33206657270325823,high_vol,neutral,up__high_vol
2024-07-26,67.71,0.0,0.0,0.009347942542546228,0.019396830394466866,0.02590909090909088,0.005195961995249299,up,0.3303304462215668,high_vol,neutral,up__high_vol
