w,horizon,mse
0.0,1,0.08480400092244963
0.0,2,0.3135076109597867
0.0,3,0.6572287498012883
0.0,4,1.072323682703427
0.0,5,1.5361556013388327
0.25,6,2.023270462929127
0.25,7,2.528288458015421
0.25,8,3.0966805481767987
0.25,9,3.726258094716041
0.25,10,4.4376045568574485
0.25,11,5.1964086610538285
0.25,12,6.052244426177333
0.25,13,6.97334951381931
0.25,14,7.927783981624989
0.25,15,8.875246228305521
0.25,16,9.863579814957841
0.5,17,10.865399665906995
0.5,18,11.818531677755523
0.5,19,12.513231075810568
0.5,20,12.979454043247383
0.5,21,13.329110175545486
0.5,22,13.964446755731045
0.5,23,14.585171806449758
0.5,24,14.904669073213615
0.75,25,15.392254722315183
0.75,26,16.521352997040577
0.5,27,18.555379683253836
0.5,28,20.60910734338064
0.75,29,23.023713176351833
0.75,30,27.56219340908883
