w,mse_path,h1_mse,h5_mse,h10_mse,h20_mse,h30_mse
0.0,10.300371283093089,0.08480400092244963,1.5361556013388327,4.551375307898124,13.819216589550779,30.115734897064105
0.25,9.88056719405821,0.26096303060669707,1.5437350377755448,4.4376045568574485,13.195114708872266,28.660256453531506
0.5,9.831324960027455,0.8452944075318553,1.7670727903086307,4.59275873005473,12.979454043247383,27.809075957539743
0.75,10.152644581000828,1.837798131697927,2.206168858938094,5.016837827489965,13.17223459267614,27.56219340908883
1.0,10.844526056978328,3.2384742031049107,2.8610232436639262,5.709841849163158,13.773456357158533,27.919608808178737
