stage,base_model,run_dir,path_mse,base_path_mse,delta_vs_base,delta_vs_prior_stage,mse_h5,mse_h20,mse_h30,sharpe_h20,sharpe_h30,mean_h20_adjustment,mean_h30_adjustment,dominant_apply_pattern_share,apply_skip_count,keep,keep_reason
baseline_current_llm,linear_lasso,/Users/davidwilkinson/Desktop/ETS 2/runs/20260325_121940_2367c2,46.23350483225568,45.73352665482155,0.4999781774341301,,9.144078235789571,59.40682218403536,107.86328760151306,1.2743084615128182,1.971671861864988,0.3446253887445474,0.26922083231118693,0.22435897435897437,0,False,failed_keep_criteria
seed_freeze_baseline,linear_lasso,/Users/davidwilkinson/Desktop/ETS 2/runs/20260325_154056_35a9df,45.965276321026,45.73352665482155,0.23174966620445048,-0.2682285112296796,9.07845033344403,58.883442832454655,107.02524802764287,1.50323845023065,1.971671861864988,0.24793992005861148,0.2070215147336274,0.6666666666666666,0,False,failed_keep_criteria
stage1_bias_neutral_guards,linear_lasso,/Users/davidwilkinson/Desktop/ETS 2/runs/20260325_160159_0c4160,45.91060866586603,45.73352665482155,0.17708201104447596,-0.054667655159974515,9.07845033344403,58.75189805311164,106.99978381710837,1.6259051971308387,1.971671861864988,0.24078939628600515,0.2059066967964123,0.6602564102564102,0,False,failed_keep_criteria
stage2_similarity_retrieval,linear_lasso,/Users/davidwilkinson/Desktop/ETS 2/runs/20260325_161703_609145,45.64222595023764,45.73352665482155,-0.09130070458391515,-0.2683827156283911,9.07845033344403,58.34001597079988,106.22372973626533,1.6204044599781595,1.971671861864988,0.15672934732681257,0.04183739994733607,0.2692307692307692,0,True,beat_base_and_sharpe_ok
