horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,trade_rate_non_overlap,n_trades_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,model
1,0.0,0.0,,,0.0,0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,naive_persistence
1,0.0022377048145345827,0.017795852826929706,0.1257430501531435,0.5763888888888888,1.0,144,0.002398478272631809,0.01776591894169034,2.1431293439544787,0.5763888888888888,1.0,144,0.3802014865985057,0.757516289569742,0.16129934802827262,seasonal_naive
5,-0.0021369360337202023,0.03927413821229152,-0.054410768281388064,0.4930555555555556,1.0,144,-0.005179968915906611,0.03650050545218611,-1.0074964935690487,0.5517241379310345,1.0,29,-0.15688006096917384,-0.25663720862095385,0.17449299698991283,seasonal_naive
20,0.005722938891267404,0.11586779523560935,0.04939197194207583,0.5486111111111112,1.0,144,-0.09209910012391123,0.11268927027459129,-2.9010692302313683,0.0,1.0,8,-0.5704776933945463,-0.7357880149136755,0.544860243235842,seasonal_naive
30,-0.00826314113025243,0.15950342357900552,-0.05180541548789714,0.4791666666666667,1.0,144,-0.03135326682031614,0.05022504686999839,-1.8092646200730835,0.4,1.0,5,-0.15293163700758083,-0.24333609815312107,0.09313011571512109,seasonal_naive
1,0.0014886867870195096,0.017874101720782694,0.08328736236789869,0.5416666666666666,1.0,144,0.0016494281726301694,0.017845658266991252,1.4672398243717693,0.5416666666666666,1.0,144,0.23908214183598409,0.4552083268341298,0.15706527906528855,linear_ridge
5,0.012917384810053691,0.03715058004391564,0.3477034489040029,0.6041666666666666,1.0,144,0.01540890238532159,0.03628483601616421,3.01482291415443,0.5862068965517241,1.0,29,0.5303435036899034,1.0948378216476575,0.04736978965446703,linear_ridge
20,0.0578522061469913,0.1005545635276704,0.5753314829025303,0.8125,1.0,144,0.11981893592920265,0.17873888940341354,2.379532692127356,0.875,1.0,8,1.2659330281816024,2.626720898071744,0.013456143459378622,linear_ridge
30,0.09624778961167774,0.12745973728840154,0.7551230816826421,0.9166666666666666,1.0,144,0.04850546274959966,0.04169993341196189,3.371280850779834,0.8,1.0,5,0.26216960940260536,0.47869215201090753,0.019178452199941964,linear_ridge
1,0.002290429625443519,0.017789143678255678,0.12875434966794919,0.5416666666666666,1.0,144,0.0024516678553453807,0.0178370609794323,2.1819189103141365,0.5416666666666666,1.0,144,0.39072037190360276,0.7810236185394632,0.1669748892527112,linear_lasso
5,0.012036918186317457,0.0374451202228847,0.32145492162049616,0.5833333333333334,1.0,144,0.01384755389204823,0.03681515505598706,2.670310099247224,0.5862068965517241,1.0,29,0.4626451040702184,0.9364225287609509,0.05010607860927507,linear_lasso
20,0.06355338969539541,0.09705186582719307,0.6548394423303124,0.8263888888888888,1.0,144,0.11981893592920265,0.17873888940341354,2.379532692127356,0.875,1.0,8,1.2659330281816024,2.626720898071744,0.013456143459378622,linear_lasso
30,0.10004526862434836,0.12450126851018063,0.8035682673881152,0.9097222222222222,1.0,144,0.05625184463860004,0.030500807696837228,5.345213683705814,1.0,1.0,5,0.3120117434026841,0.5781031017924723,0.0,linear_lasso
1,0.0028365276177484905,0.017710274186146395,0.16016282909766147,0.5625,1.0,144,0.002997799086409446,0.01775906854400521,2.679677994436271,0.5625,1.0,144,0.5044990369214422,1.043788022297469,0.13923306092674415,tsm
5,0.015257888822007872,0.0362521896804267,0.42088185448963156,0.6736111111111112,1.0,144,0.011276189376018212,0.03758031970109211,2.1301841983827092,0.6551724137931034,1.0,29,0.35759401330168394,0.701159184633416,0.09617643489192185,tsm
20,0.0557789180731763,0.10171927202305452,0.5483613573299473,0.7152777777777778,1.0,144,0.1163875162286709,0.18097973583264215,2.282767720698908,0.875,1.0,8,1.2045891849822001,2.4732903067149907,0.02690173576817445,tsm
