candidate,window,train_end,val_end,test_end,run_dir,tsm_path_mse,tsm_h20,tsm_h30,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct
base_energy16,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130613_2511c3,29.075462341308594,39.58527374267578,72.09320831298828,,,,,,
base_energy16,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130621_786501,23.25793838500977,28.18958282470703,36.62714385986328,,,,,,
base_energy16,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130626_060fdf,18.59832763671875,25.401012420654297,35.6187744140625,,,,,,
base_energy16,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130630_3f3ac3,68.51536560058594,89.81409454345703,109.4663314819336,,,,,,
base_energy16,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130634_27273d,101.73527526855467,124.65435028076172,216.0431365966797,,,,,,
sent_feature_raw,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130636_8b864a,29.784103393554688,40.74407577514648,73.5000228881836,,,,,,
sent_feature_raw,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130642_697c48,23.68931007385254,28.879940032958984,37.98460006713867,,,,,,
sent_feature_raw,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130648_864fde,18.622413635253903,25.439409255981445,35.63408279418945,,,,,,
sent_feature_raw,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130652_32d336,69.79080200195312,92.1684112548828,112.22549438476562,,,,,,
sent_feature_raw,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130655_65990a,102.25790405273438,125.56022644042967,217.32778930664065,,,,,,
sent_feature_importance,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130658_df42ef,29.71383476257324,40.626502990722656,73.26583862304688,,,,,,
sent_feature_importance,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130704_930798,23.718477249145508,28.936155319213867,38.00273895263672,,,,,,
sent_feature_importance,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130708_4a7363,18.62175750732422,25.43535041809082,35.67770004272461,,,,,,
sent_feature_importance,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130713_4a10f4,69.93773651123047,92.41068267822266,112.53744506835938,,,,,,
sent_feature_importance,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130716_849da6,102.3013687133789,125.5724639892578,217.40098571777344,,,,,,
cot_sent_raw,W0,2024-06-30,2025-06-30,2026-03-04,/Users/davidwilkinson/Desktop/ETS 2/runs/20260321_130719_6648c0,29.075462341308594,39.58527374267578,72.09320831298828,30.233533049594687,40.99431739852167,75.14853169528618,-0.03982982952057057,-0.03559514745320147,-0.04238018329040649
